

"tblid","profln","totcest","totcme","cest","cme"
" ","           0"," "," "," "," "
" ","           1"," "," "," "," "
"S0201","           1","5,630,814","+/-12,363","           384,437","             +/-6,968"
" ","           2"," "," "," "," "
"S0201","           2","     48.8","   +/-0.1","              49.2","               +/-0.7"
"S0201","           3","     51.2","   +/-0.1","              50.8","               +/-0.7"
" ","           3"," "," "," "," "
"S0201","           4","      6.1","   +/-0.1","               9.6","               +/-0.5"
"S0201","           5","     16.8","   +/-0.1","              22.2","               +/-0.5"
"S0201","           6","      9.6","   +/-0.1","              12.8","               +/-0.5"
"S0201","           7","     12.7","   +/-0.1","              14.0","               +/-0.7"
"S0201","           8","     16.1","   +/-0.1","              15.5","               +/-0.6"
"S0201","           9","     15.4","   +/-0.1","              12.1","               +/-0.4"
"S0201","          10","     10.9","   +/-0.1","               7.1","               +/-0.3"
"S0201","          11","      6.1","   +/-0.1","               3.9","               +/-0.2"
"S0201","          12","      6.3","   +/-0.1","               2.7","               +/-0.2"
" ","          12"," "," "," "," "
"S0201","          13","     38.1","   +/-0.1","              28.6","               +/-0.4"
" ","          13"," "," "," "," "
"S0201","          14","     77.1","   +/-0.1","              68.2","               +/-0.6"
"S0201","          15","     72.7","   +/-0.1","              61.8","               +/-0.8"
"S0201","          16","     15.1","   +/-0.1","               8.2","               +/-0.4"
"S0201","          17","     12.4","   +/-0.1","               6.6","               +/-0.3"
" ","          17"," "," "," "," "
"S0201","          18","1,291,339"," +/-5,781","           122,318","             +/-3,316"
"S0201","          19","     51.2","   +/-0.2","              52.8","               +/-1.1"
"S0201","          20","     48.8","   +/-0.2","              47.2","               +/-1.1"
" ","          20"," "," "," "," "
"S0201","          21","4,339,475"," +/-8,313","           262,119","             +/-4,985"
"S0201","          22","     48.0","   +/-0.1","              47.5","               +/-0.8"
"S0201","          23","     52.0","   +/-0.1","              52.5","               +/-0.8"
" ","          23"," "," "," "," "
"S0201","          24","1,257,555"," +/-5,924","           103,075","             +/-3,259"
"S0201","          25","     50.4","   +/-0.2","              49.0","               +/-1.2"
"S0201","          26","     49.6","   +/-0.2","              51.0","               +/-1.2"
" ","          26"," "," "," "," "
"S0201","          27","2,381,467"," +/-6,337","           133,528","             +/-2,992"
"S0201","          28","     48.9","   +/-0.1","              47.8","               +/-0.9"
"S0201","          29","     51.1","   +/-0.1","              52.2","               +/-0.9"
" ","          29"," "," "," "," "
"S0201","          30","  700,453"," +/-3,486","            25,516","             +/-1,045"
"S0201","          31","     40.9","   +/-0.2","              40.2","               +/-2.6"
"S0201","          32","     59.1","   +/-0.2","              59.8","               +/-2.6"
" ","          32"," "," "," "," "
" ","          33"," "," "," "," "
"S0201","          33","5,456,829","+/-12,448","           366,712","             +/-7,077"
"S0201","          34","     57.9","   +/-0.3","              42.8","               +/-1.2"
