GID	UNIQID	NAME	GWEIGHT	Resting B Ave.	6h IgM	6h IgM CD40	6h IgM IL4	6h IgM CD40 IL4	24h IgM	24h IgM CD40	24h IgM IL4	24h IgM CD40 IL4	48h IgM CD40 IL4 low	48h IgM CD40 IL4 high
EWEIGHT				1	1	1	1	1	1	1	1	1	1	1
GENE1X	17718	(Unknown; Clone=2011)	1	0.00	-0.29	-0.02	-0.42	-0.72	0.16	0.65	0.48	-0.08	-0.09	0.09
GENE1X	20332	*PML=promyelocytic leukemia protein=nuclear body protein=translocated to retinoic receptor alpha in acute promyelocytic leukemia; Clone=705046	1	0.00	-0.51	0.32	-0.39		-0.38	0.75	-0.34	-0.36	0.5	0.26
GENE1X	18593	*Receptor protein-tyrosine kinase EDDR1; Clone=1356393	1	0.00	0.24	0.24	-0.21	-0.46	-0.07	0.21	-0.29	-0.03	0.57	0.37
GENE1X	16943	*ILK=integrin-linked kinase; Clone=471786	1	0.00	-0.37	0.11	0.58	-0.25	0.08	0.39	0.3		1.39	1.03
GENE1X	18550	*HINT=Histidine triad nucleotide-binding protein=protein kinase C inhibitor-I; Clone=1352205	1	0.00	-0.63	0.05	-0.05	-0.47	0.24	0.94	0.19	-0.08	0.67	0.64
GENE1X	17846	"*Protein tyrosine phosphatase, non-receptor type 9 (PTPase MEG2); Clone=342927"	1	0.00	0.27	0.34	0.49	0.45	0.35	-0.17	0.54	-0.14	0.05	-0.03
GENE1X	17690	(E1A-F=E1A enhancer binding protein=ETS translocation variant 4=ets family transcription factor; Clone=430297)	1	0.00	-0.18	-0.07	0.03	0.13	-0.23	0.43	0.51	0.8	0.02	0.36
GENE1X	18599	*MMAC1=PTEN=Tumor suppressor gene at 10q23.3 that is Mutated in Multiple Advanced Cancers=Phosphatase and tensin homolog; Clone=1357285	1	0.00	-0.22	0.25	-0.44	-0.06	0.48	0.16	0.25	0.74	0.22	0.61
GENE1X	17456	(Cytidine deaminase; Clone=1142821)	1	0.00	0.49	0.37	-0.09	-0.89	0.06		0.18	1.18	0.17	1.49
GENE1X	20734	*Protein disulfide isomerase-related protein (PDIR); Clone=703707	1	0.00	1.4	1.39	1.8	1.26	0.3	0.99	-0.1	0.4	-0.2	0.3
GENE1X	17173	*alpha-galactosidase A; Clone=684879	1	0.00	2.25	1.51	1.52	0.93	0.42	0.44	0.72	0.21	1.03	0.45
GENE1X	18614	*homolog of mouse MAT-1 oncogene; Clone=1367471	1	0.00	2.06	1.53	1.79	0.76	0.42	0.96	0.28	0.2	0.37	0.37
GENE1X	17939	*Adenylosuccinate synthase; Clone=1032997	1	0.00	0.75	0.7	0.49	0.25	0.29	0.11	0.47	0.26	0.06	0.02
GENE1X	19430	(Similar to arginine/aspartate-rich 37.3K protein; Clone=1289546)	1	0.00	1.22	0.79	0.82	0.17	0.18	0.71	0.21	-0.1	-0.26	-0.03
GENE1X	18247	*CASPASE-3=CPP32 isoform alpha=yama=cysteine protease; Clone=1184133	1	0.00	0.37		0.39		0.41	1.39	0.84		0.02	-0.21
GENE1X	21217	(Unknown  UG Hs.131798  ESTs; Clone=1303144)	1	0.00	0.84	1.01	0.08	1.59	0.9	1.5	1.23	0.81	0.03	-0.03
GENE1X	16752	(CTP synthetase; Clone=323644)	1	0.00	1.72	2.14	1.24	2.1	1.22	1.84	1.69	1.61	0.37	0.47
GENE1X	17461	*GFI-1=growth factor independent 1=zinc finger transcription factor=near retroviral insertion in mouse B leukemia/lymphoma; Clone=1184197	1	0.00	0.61	1.17	2.02	1.55	0.5	0.66	1.68	1.36	0.32	0.13
GENE1X	17069	"*Protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform; Clone=566084"	1	0.00	0.51		0.96	0.57	0.75	0.8	1.48	0.9	0.43	0.11
GENE1X	18429	"*Protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform; Clone=1301410"	1	0.00	0.68	0.43	0.67	0.36	0.57	0.83	1.27	0.48	0.05	-0.11
GENE1X	13987	*Unknown  UG Hs.27021  hypothetical protein FLJ11159; Clone=1340103	1	0.00	1.43		0.55	0.61	1.04	0.92	1.4	1.44	0.34	0.15
GENE1X	17729	"*Vitamin D (1,25- dihydroxyvitamin D3) receptor; Clone=843037"	1	0.00		0.3	0.47	0.93		0.82	2.58	1.69	-0.01	0.45
GENE1X	20623	(CSF-1=Macrophage colony stimulating factor-1; Clone=1371832)	1	0.00	0.3	0.68	0.64	1.67	0.85	0.62	1.84	0.96	0.54	0.2
GENE1X	14438	*Unknown  UG Hs.27021  hypothetical protein FLJ11159; Clone=1353192	1	0.00	0.15	0.2	0.23	1.11	0.74	0.56	0.93	1.15	0.77	0.58
GENE1X	18341	*PBEF=pre-B cell enhancing factor; Clone=1270880	1	0.00	0.19	2.78	0.8	1.17	0.38	2.29	0.64	1.49	1.1	0.94
GENE1X	17914	*CD63=Lysosome associated membrane glycoprotein 3=ocular melanoma-associated antigen; Clone=769861	1	0.00	1.54	2.25	1.51	0.85	1.04	2.41	1.03	0.75	0.88	0.67
GENE1X	21609	*IL-2/IL-4/IL-7/IL-9/IL-15 receptor common gamma chain; Clone=1368048	1	0.00	0.76	0.8	0.35	-0.4	0.33	1.17	0.58	0.65	0.67	0.54
GENE1X	17086	*Putative oncogene protein similar to C. elegans ZC395.7 gene product; Clone=590942	1	0.00	0.77	1.12	0.9	-0.05	0.52	1.77	0.7	0.9	0.87	0.43
GENE1X	17255	*K-ras; Clone=739382	1	0.00	0.44	0.26	0.43	0.16	0.25	1.03	0.32	0.21	0.35	0.5
