 
"Organization Name - Effective 27-JUN-05","Grant Number","NIH Reference","PI Name","Project Title","NIH Dept Combining Name","NIH MC Combining Name","Award","City","State or Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","  "
"21ST CENTURY MEDICINE, INC.","1R43EY015977-01","6835070","Fahy, Gregory M","Cornea Preservation by Vitrification","","","$ 195,024","RANCHO CUCAMONGA","CALIFORNIA","91730-3868","","","","  "
"21ST CENTURY MEDICINE, INC.","2R44HL066813-02","6837472","Fahy, Gregory M","Extended Cardiac Preservation","","","$ 590,059","RANCHO CUCAMONGA","CALIFORNIA","91730-3868","","","","  "
"A. P. PHARMA","1R43CA105885-01","6740053","Heller, Jorge ","POLYACETALS AS POLYMER THERAPEUTICS","","","$ 99,085","REDWOOD CITY","CALIFORNIA","94063-4717","","","","  "
"ABRATECH CORPORATION","1R43NS048621-01","6789596","Jewett, Don L","Visual stimulator for congnitive evoked-response QSD","","","$ 100,971","SAUSALITO","CALIFORNIA","94965","","","","  "
"ABRATECH CORPORATION","5R21NS046469-02","6800740","Jewett, Don L","Improved head model for dipole analysis in children","","","$ 247,000","SAUSALITO","CALIFORNIA","94965","","","","  "
"ABRATECH CORPORATION","N44NS002345","","Jewett, Donald","EVOKED POTENTIAL G-WAVE DETECT FOR SLEEP ANAL","","","$ 481,733","SAUSALITO","CALIFORNIA","94965","","","","  "
"ACADEMY OF MOLECULAR IMAGING","1R13EB004246-01","6838045","Phelps, Michael E","Academy of Molecular Imaging 2004 Annual Meeting","","","$ 19,475","LOS ANGELES","CALIFORNIA","90095-1735","","","","  "
"ACTIVX BIOSCIENCES","1R43CA101134-01A1","6734911","Lin, Emme ","Activity-based protein profiling in ovarian cancer","","","$ 140,000","LA JOLLA","CALIFORNIA","92037","","","","  "
"ACTIVX BIOSCIENCES","1R43CA107771-01","6783876","Patricelli, Matthew ","Activity-based protein profiling in breast cancer","","","$ 144,191","LA JOLLA","CALIFORNIA","92037","","","","  "
"ACTIVX BIOSCIENCES","5R44CA097462-03","6744762","Rosenblum, Jonathan S","Activity-based Proteomics for Toxicological Analysis","","","$ 281,480","LA JOLLA","CALIFORNIA","92037","","","","  "
"ADVANCED BIONICS CORPORATION","5R01NS044554-03","6803466","Larsen, Hugh G","Multichannel Deep Brain Stimulation System","","","$ 323,030","SYLMAR","CALIFORNIA","91342","","","","  "
"ADVANCED BRAIN MONITORING, INC.","5R44HL068463-03","6793171","Levendowski, Daniel J","Automated Detection of Sleep Disordered Breathing","","","$ 286,402","CARLSBAD","CALIFORNIA","92008-1554","","","","  "
"ADVANCED BRAIN MONITORING, INC.","5R44HL070484-03","6748529","Levendowski, Daniel J","Biobehavioral Measurements of Alertness in Sleep Apnea","","","$ 285,317","CARLSBAD","CALIFORNIA","92008-1554","","","","  "
"ADVANCED CARDIOVASCULAR SYSTEMS, INC.","7R01HL071649-02","6769595","Pollman, Matthew J","Role of Notch3 Signaling in Hypertensive Arteriopathy","","","$ 307,600","SANTA CLARA","CALIFORNIA","95054","","","","  "
"ADVANCED MRI TECHNOLOGY, LLC","2R44RR017474-02","6789176","Guenther, Joerg M","Ultrasound-guided MRI","","","$ 297,500","SEBASTOPOL","CALIFORNIA","95472","","","","  "
"ADVANCED MRI TECHNOLOGY, LLC","5R01EB003202-02","6801007","Ruppert, Kai ","Lungs Pathology Detection Using Hyperpolarized 129Xe","","","$ 422,821","SEBASTOPOL","CALIFORNIA","95472","","","","  "
"ADVANCED MRI TECHNOLOGY, LLC","5R44RR016397-03","6829730","Ruppert, Kai ","Improved 3D MRI with cylindrical trajectories","","","$ 365,250","SEBASTOPOL","CALIFORNIA","95472","","","","  "
