"TBLID","ORDER","TITLE","estout","CME","CLB","CUB"
"B07401",.,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES",,,,
"B07401",.,"Universe:  Population 1 year and over in the United States",,,,
"B07401",1.0000,"Total living in area 1 year ago:","350,086","+/-7,988","342,098","358,074"
"B07401",2.0000,"1 to 4 years","26,096","+/-2,334","23,762","28,430"
"B07401",3.0000,"5 to 17 years","78,756","+/-3,573","75,183","82,329"
"B07401",4.0000,"18 and 19 years","9,257","+/-1,405","7,852","10,662"
"B07401",5.0000,"20 to 24 years","23,252","+/-2,356","20,896","25,608"
"B07401",6.0000,"25 to 29 years","27,912","+/-2,313","25,599","30,225"
"B07401",7.0000,"30 to 34 years","30,288","+/-2,351","27,937","32,639"
"B07401",8.0000,"35 to 39 years","24,469","+/-2,725","21,744","27,194"
"B07401",9.0000,"40 to 44 years","25,570","+/-2,108","23,462","27,678"
"B07401",10.0000,"45 to 49 years","22,330","+/-1,064","21,266","23,394"
"B07401",11.0000,"50 to 54 years","18,728","+/-957","17,771","19,685"
"B07401",12.0000,"55 to 59 years","16,399","+/-1,400","14,999","17,799"
"B07401",13.0000,"60 to 64 years","12,689","+/-1,352","11,337","14,041"
"B07401",14.0000,"65 to 69 years","10,504","+/-1,334","9,170","11,838"
"B07401",15.0000,"70 to 74 years","7,487","+/-1,089","6,398","8,576"
"B07401",16.0000,"75 years and over","16,349","+/-1,274","15,075","17,623"
"B07401",17.0000,"Same house:","266,880","+/-7,504","259,376","274,384"
"B07401",18.0000,"1 to 4 years","17,288","+/-1,992","15,296","19,280"
"B07401",19.0000,"5 to 17 years","61,186","+/-3,184","58,002","64,370"
"B07401",20.0000,"18 and 19 years","6,155","+/-1,296","4,859","7,451"
"B07401",21.0000,"20 to 24 years","11,237","+/-1,594","9,643","12,831"
"B07401",22.0000,"25 to 29 years","15,774","+/-2,007","13,767","17,781"
"B07401",23.0000,"30 to 34 years","21,526","+/-1,942","19,584","23,468"
