"Facility name","TRI ID","Address","City","County","State","Zip Code","Year","Chemical","CAS","Federal (F) or Commercial (C)","Form Type (Form R or A)","Industry","Fugitive Air","Stack Air","Total Air","Surface Water Discharge","Underground Injection","Land Disposal","Total on-site release","Off-site release","Total on- and off-site releases","Transfer to recycling","Transfer to energy recovery","Transfer to treatment","Transfer to POTWs","Other off-site transfer","Total transfers off-site for waste management","Recycled on-site","Recycled off-site","Energy recovery on-site","Energy recovery off-site","Treated on-site","Treated off-site","Quantity released on- and off-site","Total production-related waste managed","Non production-related waste managed"
"3M UNITEK CORP",91016NTKMC2724S ,"2724 S PECK RD",MONROVIA ,"LOS ANGELES",CA ,'91016',1988 ,"1,1,1-TRICHLOROETHANE",'000071556',C ,R ,339 Miscellaneous Manufacturing ,0 ,27000 ,27000 ,0 ,0 ,0 ,27000 ,0 ,27000 ,0 ,0 ,0 ,0 ,0 ,0 ,. ,. ,. ,. ,. ,. ,. ,. ,.
"3M UNITEK CORP",91016NTKMC2724S ,"2724 S PECK RD",MONROVIA ,"LOS ANGELES",CA ,'91016',1988 ,"PHOSPHORIC ACID",'007664382',C ,R ,339 Miscellaneous Manufacturing ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2000 ,0 ,. ,2000 ,. ,. ,. ,. ,. ,. ,. ,. ,.
"3M UNITEK CORP",91016NTKMC2724S ,"2724 S PECK RD",MONROVIA ,"LOS ANGELES",CA ,'91016',1989 ,"1,1,1-TRICHLOROETHANE",'000071556',C ,R ,339 Miscellaneous Manufacturing ,0 ,3000 ,3000 ,0 ,0 ,0 ,3000 ,0 ,3000 ,0 ,0 ,250 ,0 ,0 ,250 ,. ,. ,. ,. ,. ,. ,. ,. ,.
"3M UNITEK CORP",91016NTKMC2724S ,"2724 S PECK RD",MONROVIA ,"LOS ANGELES",CA ,'91016',1989 ,"PHOSPHORIC ACID",'007664382',C ,R ,339 Miscellaneous Manufacturing ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,250 ,0 ,. ,250 ,. ,. ,. ,. ,. ,. ,. ,. ,.
"3M UNITEK CORP",91016NTKMC2724S ,"2724 S PECK RD",MONROVIA ,"LOS ANGELES",CA ,'91016',1990 ,"PHOSPHORIC ACID",'007664382',C ,R ,339 Miscellaneous Manufacturing ,0 ,250 ,250 ,0 ,0 ,0 ,250 ,0 ,250 ,0 ,0 ,250 ,250 ,. ,500 ,. ,. ,. ,. ,. ,. ,. ,. ,.
"3M UNITEK CORP",91016NTKMC2724S ,"2724 S PECK RD",MONROVIA ,"LOS ANGELES",CA ,'91016',1991 ,"PHOSPHORIC ACID",'007664382',C ,R ,339 Miscellaneous Manufacturing ,0 ,250 ,250 ,0 ,0 ,0 ,250 ,0 ,250 ,0 ,0 ,0 ,. ,0 ,0 ,0 ,0 ,0 ,0 ,13065 ,0 ,0 ,13065 ,0
"3M UNITEK CORP",91016NTKMC2724S ,"2724 S PECK RD",MONROVIA ,"LOS ANGELES",CA ,'91016',2001 ,"CHROMIUM",'007440473',C ,A ,339 Miscellaneous Manufacturing ,. ,. ,. ,. ,. ,. ,. ,. ,0 ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,.
"3M UNITEK CORP",91016NTKMC2724S ,"2724 S PECK RD",MONROVIA ,"LOS ANGELES",CA ,'91016',2002 ,"CHROMIUM",'007440473',C ,A ,339 Miscellaneous Manufacturing ,. ,. ,. ,. ,. ,. ,. ,. ,0 ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,.
"3M UNITEK CORP",91016NTKMC2724S ,"2724 S PECK RD",MONROVIA ,"LOS ANGELES",CA ,'91016',2003 ,"CHROMIUM",'007440473',C ,A ,339 Miscellaneous Manufacturing ,. ,. ,. ,. ,. ,. ,. ,. ,0 ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,.
"3M UNITEK CORP",91016NTKMC2724S ,"2724 S PECK RD",MONROVIA ,"LOS ANGELES",CA ,'91016',2004 ,"CHROMIUM",'007440473',C ,A ,339 Miscellaneous Manufacturing ,. ,. ,. ,. ,. ,. ,. ,. ,0 ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,.
"3M UNITEK CORP",91016NTKMC2724S ,"2724 S PECK RD",MONROVIA ,"LOS ANGELES",CA ,'91016',2004 ,"NICKEL",'007440020',C ,A ,339 Miscellaneous Manufacturing ,. ,. ,. ,. ,. ,. ,. ,. ,0 ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,.
"3M UNITEK CORP",91016NTKMC2724S ,"2724 S PECK RD",MONROVIA ,"LOS ANGELES",CA ,'91016',2005 ,"CHROMIUM",'007440473',C ,A ,339 Miscellaneous Manufacturing ,. ,. ,. ,. ,. ,. ,. ,. ,0 ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,.
"3M UNITEK CORP",91016NTKMC2724S ,"2724 S PECK RD",MONROVIA ,"LOS ANGELES",CA ,'91016',2005 ,"NICKEL",'007440020',C ,A ,339 Miscellaneous Manufacturing ,. ,. ,. ,. ,. ,. ,. ,. ,0 ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,.
