 
"Organization Name - Effective 12-JAN-09","Grant Number","NIH Reference","PI Name","Project Title","Dept Name","NIH Dept Combining Name","NIH MC Combining Name","Award","City","State or Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","Additional Ranking Category","Multi-Campus Institution","Main Campus - Grant is Attributed To","  "
"ADULT CONGENITAL HEART ASSOCIATION","1R03HL096135-01","7669737","Verstappen, Amy ","HEART-ADCH: Health Education and Access Research Trial in Adult Congenital Heart","","","","$ 45,000","PHILADELPHIA","PENNSYLVANIA","19119","","","","None","N","","  "
"AGENTASE, LLC","5U01ES016094-02","7485186","Erbeldinger, Markus ","Enzyme Based Wearable Environmental Sensor Badge for Personal Exposure Assessment","","","","$ 316,178","PITTSBURGH","PENNSYLVANIA","15238","","","","None","N","","  "
"ALBERT EINSTEIN HEALTHCARE NETWORK","5R01DC000191-27","7475246","Schwartz, Myrna F","Psycholinguistic Analysis of Aphasic Syndromes","","","","$ 584,480","PHILADELPHIA","PENNSYLVANIA","19141-3098","","","","None","N","","  "
"ALBERT EINSTEIN HEALTHCARE NETWORK","5R24HD050836-04","7491065","Whyte, John ","Research Methods for Cognitive Rehabilitation","","","","$ 817,353","PHILADELPHIA","PENNSYLVANIA","19141-3098","","","","None","N","","  "
"ALLEGHENY-SINGER RESEARCH INSTITUTE","1R01DC008841-01A1","7383942","Buchinsky, Farrel J","Genetic Susceptibility to Papilloma-induced Voice Disturbance","","","","$ 524,629","PITTSBURGH","PENNSYLVANIA","15212","","","","Research Institutes","N","","  "
"ALLEGHENY-SINGER RESEARCH INSTITUTE","4R00DE018188-02","7616605","Passineau, Michael J","Salivary Gland-Based Gene Therapy for Lysosomal Storage Diseases","","","","$ 249,000","PITTSBURGH","PENNSYLVANIA","15212","","","","Research Institutes","N","","  "
"ALLEGHENY-SINGER RESEARCH INSTITUTE","5R01DC002148-16","7391642","Ehrlich, Garth D","Molecular Analysis of Pathogens in Otitis Media by PCR","","","","$ 491,093","PITTSBURGH","PENNSYLVANIA","15212","","","","Research Institutes","N","","  "
"ALLEGHENY-SINGER RESEARCH INSTITUTE","5R01DC004173-08","7320663","Ehrlich, Garth D","The Role of Biofilms in the Pathogenesis of  Otorrhea","","","","$ 818,770","PITTSBURGH","PENNSYLVANIA","15212","","","","Research Institutes","N","","  "
"ALLEGHENY-SINGER RESEARCH INSTITUTE","5R01MH072590-05","7366992","Cohen, Judith A","Treating PTSD in Children Exposed to Domestic Violence","","","","$ 301,763","PITTSBURGH","PENNSYLVANIA","15212","","","","Research Institutes","N","","  "
"ALLEGHENY-SINGER RESEARCH INSTITUTE","5R01NS030839-13","7489938","Jones, Stephen C","Brain K+ Dynamics, BBB Breakdown & Hemorrhagic Transformation in Ischemic Stroke","","","","$ 328,585","PITTSBURGH","PENNSYLVANIA","15212","","","","Research Institutes","N","","  "
"ALLEGHENY-SINGER RESEARCH INSTITUTE","5R21NS052722-02","7490525","Kelly, Kevin M","Middle Cerebral and Common Artery Occlusion and Poststroke Epilepsy","","","","$ 165,703","PITTSBURGH","PENNSYLVANIA","15212","","","","Research Institutes","N","","  "
"ALLEGHENY-SINGER RESEARCH INSTITUTE","7R01HL078946-04","7465528","Benza, Raymond Louis","Pharmacogenomics in Pulmonary Arterial Hypertension","","","","$ 451,702","PITTSBURGH","PENNSYLVANIA","15212","","","","Research Institutes","N","","  "
"AMERICAN ASSOCIATION FOR CANCER RESEARCH","5R13CA040577-23","7389487","Clarkson, Bayard D","Young Minority Scientists in the Field of Cancer","","","","$ 214,489","PHILADELPHIA","PENNSYLVANIA","19106","","","","None","N","","  "
"AMERICAN ASSOCIATION FOR CANCER RESEARCH","5R13CA076526-12","7362372","Foti, Margaret ","MSI Faculty in the Field of Cancer","","","","$ 78,120","PHILADELPHIA","PENNSYLVANIA","19106","","","","None","N","","  "
"AMERICAN ASSOCIATION FOR CANCER RESEARCH","5R25CA057732-17","7425926","Kaelin, William G","Molecular Biology in Clinical Oncology Workshop","","","","$ 294,218","PHILADELPHIA","PENNSYLVANIA","19106","","","","None","N","","  "
"AMERICAN ASSOCIATION FOR CANCER RESEARCH","5R25CA058981-16","7426828","Lehman, John M","Pathobiology of Cancer Workshop","","","","$ 297,984","PHILADELPHIA","PENNSYLVANIA","19106","","","","None","N","","  "
"AMERICAN ASSOCIATION FOR CANCER RESEARCH","5R25CA068647-13","7416749","Vonhoff, Daniel D","Workshop on Methods in Clinical Cancer Research","","","","$ 271,013","PHILADELPHIA","PENNSYLVANIA","19106","","","","None","N","","  "
"AMERICAN ASSOCIATION FOR CANCER RESEARCH","5R25CA082242-08","7417464","Vonhoff, Daniel D","Clinical Trials Methods Workshop - Europe","","","","$ 277,470","PHILADELPHIA","PENNSYLVANIA","19106","","","","None","N","","  "
"AMETHYST RESEARCH, LLC","2R44ES013908-02A1","7469613","Kaye, Jonathan M","HazCommand: HazMat Incident Command Training","","","","$ 200,000","PHILADELPHIA","PENNSYLVANIA","19147","","","","None","N","","  "
"APOGEE BIOTECHNOLOGY CORPORATION","2R44AR052261-02A1","7481511","Fitzpatrick, Leo R","Sphingosine Kinase Inhibitors as Anti-Arthritis Agents","","","","$ 481,447","HERSHEY","PENNSYLVANIA","17033-0916","","","","None","N","","  "
"APOGEE BIOTECHNOLOGY CORPORATION","5R44EY016608-03","7455032","Maines, Lynn W","Sphingosine Kinase Inhibitors as Anti-Retinopathy Agents","","","","$ 921,669","HERSHEY","PENNSYLVANIA","17033-0916","","","","None","N","","  "
"ASSESSMENTS ILLUSTRATED","1R41DA022127-01A1","7304876","Ridenour, Ty A","ALEXSA Adaptation for Use in Large Scale Substance Use Surveys","","","","$ 117,715","Allison Park","PENNSYLVANIA","15101","","","","None","N","","  "
"ASSOCIATION FOR FRONTOTEMPORAL DEMENTIAS","1R03NS065490-01","7668300","Dickinson, Susan ","Frontotemporal Dementia Caregivers and Researchers: Partnering for Brain Donation","","","","$ 36,386","PHILADELPHIA","PENNSYLVANIA","19103","","","","None","N","","  "
"ATIGEN","1R41DK076516-01A2","7392426","Maas, Stefan ","A novel approach for gene therapy","","","","$ 139,916","BETHLEHEM","PENNSYLVANIA","18015","","","","Research Institutes","N","","  "
"AVID RADIOPHARMACEUTICALS, INC.","1R43AG030869-01A1","7482754","Hefti, Franz F","18F-AV-133, A Novel Radiopharmaceutical for Differential Diagnosis of Dementia","","","","$ 249,375","Philadelphia","PENNSYLVANIA","19104","","","","None","N","","  "
"AVID RADIOPHARMACEUTICALS, INC.","1R43AG032206-01","7482845","Skovronsky, Daniel M","Development of Radiopharmaceuticals for Imaging Brain Tau Pathology","","","","$ 249,406","Philadelphia","PENNSYLVANIA","19104","","","","None","N","","  "
