#BottleID	SampleID	SMCOD	STAID	Reach	Group	AlgaeGroup	Phylum	Family	Genus	Species	Variety	TaxonAuthority	ScientificName	Quantity	Cells_cm2	Cells_mL	Biovolume_cm2	Biovolume_mL	NADEDID	ShortName	SampleProcessingStatusText
73299	73298	LIRB0997ARE2024B	05572000	A	N	Blue-Green Algae	Cyanophyta	Merismopediaceae	Aphanocapsa	incerta		(Lemmermann) Cronberg & Komárek	Aphanocapsa incerta (Lemmermann) Cronberg & Komárek	25	14178.65881		14910.01458		807011	AFPincrt	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	N	Blue-Green Algae	Cyanophyta	Oscillatoriaceae	Oscillatoria	fremyii		De Toni	Oscillatoria fremyii De Toni	16	9074.34164		12674.66491		888058	OSCfremy	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	N	Blue-Green Algae	Cyanophyta	Oscillatoriaceae	Oscillatoria	limnetica		Lemmermann	Oscillatoria limnetica Lemmermann	29	16447.24422		569344.0278		888011	OSClimnt	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	N	Blue-Green Algae	Cyanophyta	Phormidiaceae	Phormidium	ambiguum		Gomont	Phormidium ambiguum Gomont	65	36864.5129		562671.2186		890002	PHOambig	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	N	Blue-Green Algae	Cyanophyta	Phormidiaceae	Phormidium	chlorinum			Phormidium chlorinum 	45	25521.58585		1803186.396		890040	PHRchlor	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	N	Blue-Green Algae	Cyanophyta	Phormidiaceae	Phormidium	laetevirens			Phormidium laetevirens 	9	5104.31717		218183.5405		890053	PHRlatvr	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Achnanthaceae	Achnanthes	conspicua		Mayer	Achnanthes conspicua Mayer	2	69.8316		4186.61268		2098	ACconi	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Achnanthaceae	Achnanthidium	minutissimum		(Kützing) Czarnecki	Achnanthidium minutissimum (Kützing) Czarnecki	2	69.8316		3796.92666		1010	AHminuti	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Achnanthaceae	Cocconeis	placentula		Ehrenberg	Cocconeis placentula Ehrenberg	4	139.66319		105311.5488		16004	CCplacen	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Achnanthaceae	Cocconeis	placentula	euglypta	(Ehrenberg) Cleve	Cocconeis placentula var. euglypta (Ehrenberg) Cleve	2	69.8316		48186.97126		16005	CCplaeug	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Diatomaceae	Synedra	acus		Kützing	Synedra acus Kützing	2	69.8316		99168.80534		66042	SYacus	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Diatomaceae	Synedra	delicatissima	angustissima	Grunow	Synedra delicatissima var. angustissima Grunow	6	209.49479		211185.6173		66053	SYdelang	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Amphora	montana		Krasske	Amphora montana Krasske	14	488.82117		105113.082		7042	AMmontan	Completed
