year2,state,fsize,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,d_flag
1977,01,a) 1 to 4,30098,67710,66142,7405,25,6106,20.6,26167,18919,7248,28.6,39.6,22387,15378,7009,23.2,33.8,3780,5.8,67.6,0
1977,01,b) 5 to 9,10809,70464,69520,1003,9.4,740,6.9,18334,9337,8997,13.4,26.4,16250,8101,8149,11.7,23.4,2084,3,46.8,0
1977,01,c) 10 to 19,6057,77057,75433,622,10.5,322,5.4,18329,8803,9526,11.7,24.3,14903,7089,7814,9.4,19.8,3426,4.5,39.6,0
1977,01,d) 20 to 49,4113,98701,96418,421,10.5,223,5.6,22014,9051,12963,9.4,22.8,17527,7528,9999,7.8,18.2,4487,4.6,36.4,0
1977,01,e) 50 to 99,1781,68487,66625,219,12.9,68,4,14110,6170,7940,9.3,21.2,10484,4241,6243,6.4,15.7,3626,5.5,31.4,0
1977,01,f) 100 to 249,1502,73033,71512,228,15.9,84,5.9,14560,6486,8074,9.1,20.4,11523,4609,6914,6.4,16.1,3037,4.3,32.2,0
1977,01,g) 250 to 499,813,48086,46370,66,8.3,37,4.6,8990,3021,5969,6.5,19.4,5539,1093,4446,2.4,11.9,3451,7.5,23.8,0
1977,01,h) 500 to 999,780,52076,50334,125,16.7,68,9.1,9047,4115,4932,8.2,18,6070,1911,4159,3.8,12.1,2977,5.9,24.2,0
1977,01,i) 1000 to 2499,1621,66754,65963,113,7.1,65,4.1,8030,1619,6411,2.5,12.2,6484,997,5487,1.5,9.8,1546,2.4,19.6,0
1977,01,j) 2500 to 4999,961,50985,49632,82,8.6,71,7.4,6409,1663,4746,3.4,12.9,3710,1159,2551,2.3,7.5,2699,5.4,15,0
1977,01,k) 5000 to 9999,908,46008,44861,109,12.3,69,7.8,8044,4050,3994,9,17.9,5775,914,4861,2,12.9,2269,5,25.8,0
1977,01,l) 10000+,3454,238823,233393,218,6.3,191,5.6,35496,14040,21456,6,15.2,24383,5801,18582,2.5,10.4,11113,4.8,20.8,0
1977,02,a) 1 to 4,3484,8525,8366,1283,37.1,1182,34.2,4528,3506,1022,41.9,54.1,4116,3230,886,38.6,49.2,412,4.9,98.4,0
1977,02,b) 5 to 9,1418,9478,9280,252,18.3,163,11.8,3746,2232,1514,24.1,40.4,3284,1921,1363,20.7,35.4,462,5,70.8,0
1977,02,c) 10 to 19,801,10386,10273,116,14.8,76,9.7,3502,1755,1747,17.1,34.1,3252,1725,1527,16.8,31.7,250,2.4,63.4,0
1977,02,d) 20 to 49,548,13406,13009,88,16.7,51,9.6,4656,2605,2051,20,35.8,3864,1707,2157,13.1,29.7,792,6.1,59.4,0
1977,02,e) 50 to 99,257,9481,9105,65,27.7,20,8.5,3318,2162,1156,23.7,36.4,2565,1032,1533,11.3,28.2,753,8.2,56.4,0
1977,02,f) 100 to 249,265,12290,10730,61,25.5,9,3.8,5203,3133,2070,29.2,48.5,2082,455,1627,4.2,19.4,3121,29.1,38.8,0
1977,02,g) 250 to 499,173,6094,6384,30,18.2,13,7.9,1233,356,877,5.6,19.3,1812,1057,755,16.6,28.4,-579,-9.1,38.6,0
1977,02,h) 500 to 999,165,8771,8030,,,15,9.6,3752,,,,46.7,2270,664,1606,8.3,28.3,1482,18.4,56.6,1
1977,02,i) 1000 to 2499,139,7760,9360,,,7,5.6,1775,,,,19,4974,63,4911,0.7,53.1,-3199,-34.1,38,1
1977,02,j) 2500 to 4999,96,1959,2362,13,13.9,8,8.6,359,110,249,4.7,15.2,1165,463,702,19.6,49.3,-806,-34.1,30.4,0
1977,02,k) 5000 to 9999,80,4264,6951,12,15.8,4,5.3,1623,1050,573,15.1,23.3,6996,10,6986,0.1,100.6,-5373,-77.3,46.6,0
1977,02,l) 10000+,318,15410,15079,39,12.7,18,5.9,4022,574,3448,3.8,26.7,3365,1191,2174,7.9,22.3,657,4.4,44.6,0
1977,04,a) 1 to 4,20841,48596,45716,6402,32,4526,22.7,22454,16726,5728,36.6,49.1,16360,11629,4731,25.4,35.8,6094,13.3,71.6,0
1977,04,b) 5 to 9,7641,51384,49104,1056,14.2,635,8.5,17305,9594,7711,19.5,35.2,12643,7002,5641,14.3,25.7,4662,9.5,51.4,0
1977,04,c) 10 to 19,4454,57503,54532,660,15.5,293,6.9,17694,9247,8447,17,32.4,11807,5985,5822,11,21.7,5887,10.7,43.4,0
1977,04,d) 20 to 49,2808,65032,64071,344,12.6,195,7.1,16565,7241,9324,11.3,25.9,14468,7086,7382,11.1,22.6,2097,3.3,45.2,0
1977,04,e) 50 to 99,1139,44481,42924,157,14.4,70,6.4,10756,4446,6310,10.4,25.1,7701,3869,3832,9,17.9,3055,7.2,35.8,0
1977,04,f) 100 to 249,825,41441,39029,110,13.9,48,6.1,10508,5844,4664,15,26.9,5847,2295,3552,5.9,15,4661,11.9,30,0
1977,04,g) 250 to 499,560,23037,21142,92,16.7,75,13.6,6164,2991,3173,14.1,29.2,2389,785,1604,3.7,11.3,3775,17.9,22.6,0
1977,04,h) 500 to 999,692,23360,22348,78,11.4,58,8.5,4627,2082,2545,9.3,20.7,2603,1051,1552,4.7,11.6,2024,9.1,23.2,0
1977,04,i) 1000 to 2499,943,40889,39494,102,11.1,61,6.6,7160,1970,5190,5,18.1,4387,968,3419,2.5,11.1,2773,7,22.2,0
1977,04,j) 2500 to 4999,1014,28182,27354,55,5.5,46,4.6,4495,2257,2238,8.3,16.4,2838,968,1870,3.5,10.4,1657,6,20.8,0
1977,04,k) 5000 to 9999,771,36389,35346,68,9.1,45,6,5361,1037,4324,2.9,15.2,3629,1193,2436,3.4,10.3,1732,4.9,20.6,0
1977,04,l) 10000+,2492,145247,149175,263,10.8,132,5.4,24332,7046,17286,4.7,16.3,32213,1912,30301,1.3,21.6,-7881,-5.3,32.6,0
1977,05,a) 1 to 4,21135,46584,44958,5452,26.4,4339,21,18512,13409,5103,29.8,41.2,14998,10207,4791,22.7,33.4,3514,7.8,66.8,0
1977,05,b) 5 to 9,6999,45627,44524,618,9,434,6.3,11860,5970,5890,13.4,26.6,9650,4515,5135,10.1,21.7,2210,4.9,43.4,0
1977,05,c) 10 to 19,4081,51389,50258,418,10.5,226,5.7,11879,5766,6113,11.5,23.6,9492,4409,5083,8.8,18.9,2387,4.7,37.8,0
1977,05,d) 20 to 49,2498,59954,58722,254,10.5,108,4.5,12327,5346,6981,9.1,21,9853,3737,6116,6.4,16.8,2474,4.2,33.6,0
1977,05,e) 50 to 99,1013,39379,38132,93,9.5,39,4,7044,1957,5087,5.1,18.5,4568,1509,3059,4,12,2476,6.5,24,0
1977,05,f) 100 to 249,870,36129,36103,102,12,59,6.9,5947,2525,3422,7,16.5,5294,2465,2829,6.8,14.7,653,1.8,29.4,0
1977,05,g) 250 to 499,491,29666,28723,47,9.7,39,8,5585,2011,3574,7,19.4,3682,1395,2287,4.9,12.8,1903,6.6,25.6,0
1977,05,h) 500 to 999,455,27837,27250,74,17,36,8.3,3829,894,2935,3.3,14.1,2654,416,2238,1.5,9.7,1175,4.4,19.4,0
1977,05,i) 1000 to 2499,661,36134,32899,44,6.8,15,2.3,8830,495,8335,1.5,26.8,2345,843,1502,2.6,7.1,6485,19.7,14.2,0
1977,05,j) 2500 to 4999,389,32154,31483,25,6.3,36,9.1,3894,672,3222,2.1,12.4,2551,592,1959,1.9,8.1,1343,4.3,16.2,0
1977,05,k) 5000 to 9999,510,34926,30633,38,7.7,13,2.6,10380,916,9464,3,33.9,1806,173,1633,0.6,5.9,8574,28,11.8,0
1977,05,l) 10000+,1664,112450,107615,134,8.2,93,5.7,19382,4184,15198,3.9,18,9763,1776,7987,1.7,9.1,9619,8.9,18.2,0
1977,06,a) 1 to 4,213642,485192,461417,60189,29.1,44495,21.5,210112,152113,57999,33,45.5,158958,112949,46009,24.5,34.4,51154,11.1,68.8,0
1977,06,b) 5 to 9,75586,507366,486067,9330,12.6,5822,7.9,163308,86904,76404,17.9,33.6,119386,64518,54868,13.3,24.6,43922,9,49.2,0
1977,06,c) 10 to 19,43993,566254,546583,5518,12.9,3226,7.5,163942,78606,85336,14.4,30,123436,67558,55878,12.4,22.6,40506,7.4,45.2,0
1977,06,d) 20 to 49,29869,735702,714764,3720,12.8,2013,6.9,192941,82538,110403,11.5,27,149482,77304,72178,10.8,20.9,43459,6.1,41.8,0
1977,06,e) 50 to 99,12330,508920,488322,1759,14.8,829,7,125549,49904,75645,10.2,25.7,84248,38648,45600,7.9,17.3,41301,8.4,34.6,0
1977,06,f) 100 to 249,10203,491010,471496,1476,15.2,585,6,118794,45926,72868,9.7,25.2,80331,31286,49045,6.6,17,38463,8.2,34,0
1977,06,g) 250 to 499,5525,300067,282997,794,14.9,443,8.3,69890,27293,42597,9.6,24.7,35986,12241,23745,4.3,12.7,33904,12,25.4,0
1977,06,h) 500 to 999,5531,299613,284401,531,9.7,477,8.7,63574,22083,41491,7.8,22.4,34570,10198,24372,3.6,12.2,29004,10.2,24.4,0
1977,06,i) 1000 to 2499,6792,386296,372261,828,12.5,505,7.6,80411,23560,56851,6.3,21.6,54090,14898,39192,4,14.5,26321,7.1,29,0
1977,06,j) 2500 to 4999,6539,321779,302821,820,13,390,6.2,70299,20545,49754,6.8,23.2,32427,10815,21612,3.6,10.7,37872,12.5,21.4,0
1977,06,k) 5000 to 9999,4377,394339,346049,516,12.1,460,10.8,130628,32838,97790,9.5,37.7,35703,10904,24799,3.2,10.3,94925,27.4,20.6,0
1977,06,l) 10000+,24474,1831146,1744335,2415,10.1,1340,5.6,347610,151241,196369,8.7,19.9,174580,36581,137999,2.1,10,173030,9.9,20,0
1977,08,a) 1 to 4,30092,68262,63655,9068,31.7,5981,20.9,30989,23148,7841,36.4,48.7,21432,14743,6689,23.2,33.7,9557,15,67.4,0
1977,08,b) 5 to 9,10276,68157,65704,1233,12.3,722,7.2,21342,11250,10092,17.1,32.5,16285,8076,8209,12.3,24.8,5057,7.7,49.6,0
