_LRT_EF_COVERAGE_SRC_EZ.PGM_SYS_ACRNM,V_LRT_EF_COVERAGE_SRC_EZ.PGM_SYS_ID,V_LRT_EF_COVERAGE_SRC_EZ.REGISTRY_ID,V_LRT_EF_COVERAGE_SRC_EZ.PRIMARY_NAME,V_LRT_EF_COVERAGE_SRC_EZ.CITY_NAME,V_LRT_EF_COVERAGE_SRC_EZ.COUNTY_NAME,V_LRT_EF_COVERAGE_SRC_EZ.LOCATION_ADDRESS,V_LRT_EF_COVERAGE_SRC_EZ.STATE_CODE,V_LRT_EF_COVERAGE_SRC_EZ.POSTAL_CODE,V_LRT_EF_COVERAGE_SRC_EZ.STATE_NAME,V_LRT_EF_COVERAGE_SRC_EZ.FEDERAL_FACILITY_CODE,V_LRT_EF_COVERAGE_SRC_EZ.TRIBAL_LAND_CODE,V_LRT_EF_COVERAGE_SRC_EZ.TRIBAL_LAND_NAME,V_LRT_EF_COVERAGE_SRC_EZ.LATITUDE,V_LRT_EF_COVERAGE_SRC_EZ.LONGITUDE
FRS,110011008845,110011008845,CITY OF CATOOSA,CATOOSA,ROGERS,P.O. BOX 190,OK,74015,OKLAHOMA,,N,,36.197028,-95.7385
FRS,110009154538,110009154538,LANGSTON PUBLIC WORKS AUTH.,LANGSTON,LOGAN,P.O. BOX 1256,OK,73050,OKLAHOMA,,N,,35.947556,-97.270139
FRS,110009154468,110009154468,CITY OF RAMONA  PWA,RAMONA,WASHINGTON,P.O. BOX 204,OK,74061,OKLAHOMA,,N,,36.530194,-95.91275
FRS,110006617982,110006617982,CITY OF EDMOND - COFFEE CREEK,EDMOND,OKLAHOMA,OKLAHOMA COUNTY,OK,73083,OKLAHOMA,,N,,35.673778,-97.384917
FRS,110011008998,110011008998,CITY OF HOMINY,HOMINY,OSAGE,PO BOX 219,OK,74035,OKLAHOMA,,N,,36.415556,-96.381361
FRS,110011008738,110011008738,CITY OF ATOKA,ATOKA,ATOKA,P.O. BOX 900,OK,74525,OKLAHOMA,,N,,34.405,-96.108611
FRS,110011008747,110011008747,NEWCASTLE PUBLIC WORKS AUTH.,NEWCASTLE,MCCLAIN,P.O. BOX 179,OK,73065,OKLAHOMA,,N,,35.254556,-97.592889
FRS,110000754951,110000754951,CITY OF BLACKWELL,BLACKWELL,KAY,900 EAST STEVENS,OK,74631,OKLAHOMA,,N,,36.785472,-97.272833
FRS,110011007999,110011007999,CITY OF NEWKIRK,NEWKIRK,KAY,P.O. BOX 469,OK,74647,OKLAHOMA,,N,,36.864472,-97.075167
FRS,110000454348,110000454348,BAKER PETROLITE POLYMERS DIVISION,BARNSDALL,OSAGE,800 BIRCH LAKE ROAD,OK,740020669,OKLAHOMA,N,Y,OSAGE RESERVATION,36.554444,-96.162222
FRS,110016703575,110016703575,TERRA NITROGEN  L.P-VERDIGRIS,CATOOSA,ROGERS,3 MILS N/NE OF CITY OF CATOOSA,OK,74015,OKLAHOMA,N,N,,36.233333,-95.718889
FRS,110000454641,110000454641,KIMBERLY-CLARK CORP-JENKS FAC,JENKS,TULSA,13252 S. YALE PL.,OK,740373000,OKLAHOMA,N,N,,35.970278,-95.925556
FRS,110011014268,110011014268,HITCH FEEDERS I  INC.,HOOKER,TEXAS,AT HOOKER,OK,73945,OKLAHOMA,,N,,36.803333,-101.334444
FRS,110009153691,110009153691,MAHARD EGG FARM  INC. - BOOGIE,SULPHUR,MURRAY,HIGHWAY 177 S OF,OK,73086,OKLAHOMA,,N,,34.651944,-97.013611
FRS,110000753471,110000753471,CITY OF ALTUS - SE WTF,ALTUS AFB,JACKSON,NW1/4 SE1/4 OF SECTION 23,OK,73521,OKLAHOMA,,N,,34.6285,-99.271417
FRS,110011007828,110011007828,WARNER UTILITIES AUTHORITY,WARNER,MUSKOGEE,P.O. BOX 170,OK,744690170,OKLAHOMA,,N,,35.485861,-95.296694
FRS,110011007864,110011007864,BIG CABIN PUBLIC WORKS AUTH,BIG CABIN,CRAIG,P O BOX 161,OK,74332,OKLAHOMA,,N,,36.516667,-95.260556
FRS,110027253843,110027253843,BRYAN CO. RWS & SWM DISTRICT#2,MEAD,BRYAN,MEAD FACILITY,OK,73449,OKLAHOMA,,N,,34.049972,-96.380306
FRS,110015911557,110015911557,AMIGO FEEDERS,,TEXAS,,OK,73939,OKLAHOMA,,N,,36.906389,-101.916111
FRS,110010696657,110010696657,CIMARRON FEEDERS  CONTINENTAL GRAIN COMPANY,TEXHOMA,TEXAS,RT 1  BOX 59,OK,73949,OKLAHOMA,,N,,36.579444,-102.243055
FRS,110006644943,110006644943,FORT GIBSON UTILITIES AUTH,FORT GIBSON,MUSKOGEE,PO BOX 218,OK,74434,OKLAHOMA,,N,,35.798333,-95.26175
FRS,110011009559,110011009559,CITY OF SPENCER,SPENCER,OKLAHOMA,P.O. BOX 660,OK,73084,OKLAHOMA,,N,,35.537972,-97.373222
FRS,110001224719,110001224719,SEQUOYAH FUELS CORPORATION,GORE,SEQUOYAH,I-40 & HWY 10,OK,744350610,OKLAHOMA,N,N,,35.501667,-95.081111
FRS,110011012830,110011012830,W-6 SWINE FARMS  INC.,,HUGHES,,OK,,OKLAHOMA,,N,,34.810278,-96.213889
FRS,110011009416,110011009416,FAIRLAND PUBLIC WORKS AUTH,FAIRLAND,OTTAWA,PO BOX 429,OK,74343,OKLAHOMA,N,N,,36.753306,-94.858611
FRS,110011008284,110011008284,CITY OF GARBER,GARBER,GARFIELD,P.O. BOX 607,OK,73738,OKLAHOMA,N,N,,36.424611,-97.569778
FRS,110009002113,110009002113,TOWN OF MCLOUD PUB WORKS AUTH,MCLOUD,POTTAWATOMIE,P.O. BOX 300,OK,74851,OKLAHOMA,N,N,,35.445278,-97.092639
FRS,110011014142,110011014142,B & R FARMS  INC.,SULPHUR,MURRAY,AT THE TOWN OF,OK,73086,OKLAHOMA,,N,,34.543889,-96.869167
FRS,110011013786,110011013786,HOLTS EGG FARM,,JOHNSTON,,OK,73460,OKLAHOMA,,N,,34.448333,-96.609444
FRS,110011013795,110011013795,JACKSON DAIRY,,CREEK,,OK,,OKLAHOMA,,N,,35.743333,-96.546389
FRS,110011006730,110011006730,TOWN OF DOUGHERTY,DOUGHERTY,MURRAY,P. O. BOX 59,OK,73032,OKLAHOMA,,N,,34.39525,-97.042472
FRS,110009153655,110009153655,OKIE SOW COMPLEX,,SEMINOLE,,OK,,OKLAHOMA,,N,,35.239444,-96.441111
FRS,110009153664,110009153664,TREE SOW COMPLEX,,HUGHES,,OK,74848,OKLAHOMA,,N,,35.175,-96.391111
FRS,110011013241,110011013241,B & K DAIRY,,COTTON,,OK,73562,OKLAHOMA,,N,,34.146111,-98.276389
FRS,110011013358,110011013358,BOLEN FARMS,,MCCURTAIN,,OK,74745,OKLAHOMA,,N,,33.823611,-94.839444
FRS,110011007882,110011007882,RED OAK PUBLIC WORKS AUTHORITY,RED OAK,LATIMER,PO BOX 386,OK,74563,OKLAHOMA,,N,,34.941917,-95.074444
FRS,110011385731,110011385731,MID-CONTINENT CONCRETE CO.,VINITA,CRAIG,26457 S 4460 RD,OK,74301,OKLAHOMA,,N,,36.634722,-95.061111
FRS,110011013624,110011013624,CK CATTLE CO.,OKLAHOMA CITY,OKLAHOMA,6419 AVONDALE DRIVE  NICHOLS HILLS,OK,73116,OKLAHOMA,,N,,35.767778,-98.633611
FRS,110009154002,110009154002,PHOENIX COAL CO.-ALLUWE NO. 2,NEW ALLUWE,ROGERS,NOWATA COUNTY,OK,74049,OKLAHOMA,N,N,,36.599722,-95.505833
FRS,110009154761,110009154761,MILLERTON PUB WRKS AUTHORITY,MILLERTON,MCCURTAIN,P.O. BOX 239,OK,74750,OKLAHOMA,,N,,33.97925,-95.022306
FRS,110011007310,110011007310,EUFAULA PUBLIC WORKS AUTHORITY,EUFAULA,MCINTOSH,64 MEMORIAL DRIVE,OK,74432,OKLAHOMA,,N,,35.260806,-95.585167
FRS,110009154789,110009154789,ATOKA CO. RWD #2-TUSHKA,ATOKA,ATOKA,P.O. BOX 1265,OK,74525,OKLAHOMA,N,N,,34.310861,-96.172917
FRS,110011007472,110011007472,PINE ISLAND R.V. RESORT  INC.,JAY,DELAWARE,32501 S 571 RD,OK,743469447,OKLAHOMA,,N,,36.549361,-94.857833
FRS,110009154734,110009154734,CITY OF THOMAS PUB WORKS AUTH,THOMAS,CUSTER,P.O. BOX 250,OK,73669,OKLAHOMA,,N,,35.7495,-98.7295
FRS,110002047384,110002047384,DURANT CITY UTILITIES AUTH,DURANT,BRYAN,1222 DAVIS ROAD,OK,74702,OKLAHOMA,,N,,33.937,-96.383722
FRS,110037148486,110037148486,EXPRESS METAL FABRICATORS INC,LOCUST GROVE,MAYES,9490 HWY 412 E,OK,74352,OKLAHOMA,N,,,36.186629,-95.165219
FRS,110029526537,110029526537,QUARRY #32,QUAPAW,OTTAWA,61250 EAST 57 ROAD,OK,74363,OKLAHOMA,N,N,,36.925556,-94.783056
FRS,110004742805,110004742805,MIDWAY CLEANERS,ENID,GARFIELD,112-114 N 116TH,OK,73701,OKLAHOMA,,N,,36.435491,-97.865139
FRS,110004754819,110004754819,LOCKWOOD-GRUEL-BRYANT ORTHOPEDICS INC,OKLAHOMA CITY,OKLAHOMA,3113 NW EXPRWY.,OK,73112,OKLAHOMA,,N,,35.528687,-97.571038
FRS,110004755060,110004755060,ARCHER CLEANERS,CLAREMORE,ROGERS,422 W 4TH  H,OK,74017,OKLAHOMA,,N,,36.312741,-95.613432
FRS,110004755998,110004755998,DRIVE TRAIN SPECIALISTS,OKLAHOMA CITY,OKLAHOMA,1905 S NICHOLAS,OK,73128,OKLAHOMA,,N,,35.446346,-97.604571
FRS,110004770597,110004770597,NORDAM GROUP INC/MFG CHEROKEE PLT,TULSA,TULSA,6911 NORTH WHIRLPOOL DRIVE,OK,74117,OKLAHOMA,N,N,,36.260349,-95.9207
FRS,110004770846,110004770846,BARTLESVILLE CYCLE SPORT,BARTLESVILLE,WASHINGTON,1400 TUXEDO,OK,74003,OKLAHOMA,,N,,36.756748,-95.956475
FRS,110011690410,110011690410,TEMPLE CHRISTIAN SCHOOL,TULSA,TULSA,6308 E APACHE ST,OK,74115,OKLAHOMA,,N,,36.191488,-95.906483
FRS,110011419697,110011419697,GRANDFIELD PUBLIC SCHOOLS,GRANDFIELD,TILLMAN,811 WEST THIRD STREET,OK,73546,OKLAHOMA,,N,,34.229561,-98.692034
FRS,110011428865,110011428865,NEW LIFE ELEMENTARY SCHOOL,CLAREMORE,ROGERS,202 NORTH OSEUMA DRIME,OK,74017,OKLAHOMA,,N,,36.315124,-95.618941
FRS,110002368786,110002368786,BIG V FEEDS/MCALESTER,MCALESTER,PITTSBURG,1621 ELECTRIC AVE,OK,74501,OKLAHOMA,,N,,34.942263,-95.738625
FRS,110006112312,110006112312,LEGACY CONVERSIONS INC,NOBLE,CLEVELAND,1100 N HWY 77,OK,73068,OKLAHOMA,,N,,35.119378,-97.381732
FRS,110007162122,110007162122,LONGAN CONST CO/GROVE ASPHALT PLT,GROVE,DELAWARE,1635 US HWY 59 N,OK,74344,OKLAHOMA,,N,,36.579692,-94.769176
FRS,110007164692,110007164692,NORTHERN NATURAL GA/BEAVER CNTY 12,BEAVER,BEAVER,9 MI N 3 MI W 1MI N OF ELMWOOD,OK,73932,OKLAHOMA,,N,,36.818115,-100.531452
FRS,110006113669,110006113669,THOMPSON MOTOR CO,EL RENO,CANADIAN,1345 E HWY 66,OK,73036,OKLAHOMA,,N,,35.532188,-97.96869
FRS,110012846910,110012846910,TREASURE LAKE JOB CORPS,INDIAHOMA,COMANCHE,1111 INDIAHOMA ROAD,OK,73552,OKLAHOMA,Y,N,,34.625265,-98.755911
FRS,110007723589,110007723589,SUN OIL CO SE FLYN UNIT,ENID,GARFIELD,1M S 2M W OF DOUGLAS,OK,73701,OKLAHOMA,,N,,36.434483,-97.862445
FRS,110007732301,110007732301,ENBRIDGE CUSHING TANK FARM,CUSHING,PAYNE,2101 S LINWOOD,OK,74023,OKLAHOMA,N,N,,35.957897,-96.749252
FRS,110007734050,110007734050,SOONER PIPE & SUPPLY CORP,OKARCHE,KINGFISHER,5.5M E OKARCHE-HY3,OK,73762,OKLAHOMA,,N,,35.729486,-97.971808
FRS,110012848348,110012848348,COVES AT BIRD ISLAND,AFTON,DELAWARE,32922 PEEBLE BCH,OK,743315577,OKLAHOMA,,N,,36.539982,-94.963121
FRS,110013395842,110013395842,CARDINAL FG CO/CARDINAL GLASS PLT,DURANT,BRYAN,515 CARDINAL PARKWAY,OK,74701,OKLAHOMA,,N,,34.001277,-96.454127
FRS,110010772912,110010772912,MOORE CITY OF,MOORE,CLEVELAND,4000 S I-35,OK,73160,OKLAHOMA,,N,,35.302869,-97.489446
FRS,110002332789,110002332789,RESOURCE RECOVERY & REFINING CORPORATION,SAND SPRINGS,TULSA,ADAMS ROAD,OK,74063,OKLAHOMA,,N,,36.141987,-96.10133
FRS,110023154986,110023154986,PERMIAN TANK AND MA/EL RENO MANUFACTURIN,EL RENO,CANADIAN,2309 E HWY 66,OK,73036,OKLAHOMA,N,N,,35.508089,-97.930774
FRS,110013813169,110013813169,CHOCTAW MFG & DEVELOPMENT CORP (HUGO),HUGO,CHOCTAW,203 CHOCTAW INDUSTRIAL DRIVE,OK,74743,OKLAHOMA,N,N,,34.011105,-95.502962
FRS,110014409568,110014409568,GRAND RESOURCES  INC. BLAZER LEASE FACILITY,OSAGE COUNTY,,2448 EAST 81TH STREET  NO. 4040,OK,74137,OKLAHOMA,,N,,36.046302,-95.956618
FRS,110013704866,110013704866,FELTS SUPERETTE,LONE GROVE,CARTER,407 US HIGHWAY 70,OK,73443,OKLAHOMA,,N,,34.172765,-97.26007
FRS,110022635451,110022635451,SURREY HOUSE,OKLAHOMA CITY,OKLAHOMA,11700 NE EXPRESSWAY,OK,73131,OKLAHOMA,,N,,35.588416,-97.436345
FRS,110007731963,110007731963,AMERICAN TEL & TEL CO LONG LINES,HARTSHORNE,PITTSBURG,8.7M S ON LAKE RD,OK,74547,OKLAHOMA,,N,,34.81284,-95.592732
FRS,110022404432,110022404432,GROVE DRY CLNRS INC/HWY 169 (A 1 CLNRS),OOLOGAH,ROGERS,481 S MAPLE,OK,74053,OKLAHOMA,N,N,,36.441675,-95.709646
FRS,110022628370,110022628370,WAKO INC WWT,ENID,GARFIELD,5606 NORTH HWY 81,OK,73701,OKLAHOMA,,N,,36.449929,-97.873175
FRS,110022630269,110022630269,T38001,HOBART,KIOWA,501 N. BIALY,OK,73651,OKLAHOMA,,N,,35.033028,-99.10252
FRS,110022582230,110022582230,AQUACHLOR WWT,SHAWNEE,POTTAWATOMIE,8801 NORTH HARRISON,OK,74801,OKLAHOMA,,N,,35.425487,-96.911883
FRS,110022582695,110022582695,DOLESE SULPHUR BATCH PLANT,SULPHUR,MURRAY,302 W. CHICKASHA,OK,73086,OKLAHOMA,,N,,34.5141,-96.971988
FRS,110022582855,110022582855,CHECOTAH,CHECOTAH,MCINTOSH,115 NORTH BROADWAY,OK,74426,OKLAHOMA,,N,,35.521296,-95.494185
FRS,110022582917,110022582917,TUCKER TOWER,ARDMORE,CARTER,3310 S LAKE MURRAY DR,OK,73401,OKLAHOMA,,N,,34.154027,-97.120991
FRS,110022580330,110022580330,SEQUOYAH SCHOOL WWT,CLAREMORE,ROGERS,16441 S. 4180 RD,OK,74017,OKLAHOMA,,N,,36.369774,-95.56114
FRS,110022581400,110022581400,LOVE S COUNTRY STORES #268,ATOKA,ATOKA,1811 S. MISSISSIPPI,OK,74525,OKLAHOMA,,N,,34.365989,-96.141003
FRS,110022587805,110022587805,FLYING J TRAVEL CHECOTAH STORE,CHECOTAH,MCINTOSH,1255 GENTRY STREET,OK,74426,OKLAHOMA,,N,,35.464104,-95.495663
FRS,110022599035,110022599035,NORTHWOOD CLUB,DUNCAN,STEPHENS,1401 BOIS D ARC PO BOX 308,OK,73533,OKLAHOMA,,N,,34.492792,-97.958466
FRS,110022623482,110022623482,METROCHURCH,EDMOND,OKLAHOMA,4500 E 2,OK,73034,OKLAHOMA,,N,,35.652644,-97.419664
FRS,110022625827,110022625827,SOUTH EAST WATER DIST,ANADARKO,CADDO,204 W CENTRAL,OK,73005,OKLAHOMA,,N,,35.072698,-98.244561
FRS,110022627102,110022627102,TERRY S EXPRESS MART,NOBLE,CLEVELAND,777 N HWY 77,OK,73068,OKLAHOMA,,N,,35.128645,-97.389186
FRS,110022571698,110022571698,DCP MIDSTREAM LP/BEAVER 7 CMPSR STA,ELMWOOD,BEAVER,4 MILES S AND 15 MILES E OF,OK,73932,OKLAHOMA,N,N,,36.818182,-100.531275
FRS,110022610539,110022610539,THREE KAZE FRIENDLY STOP,SHAWNEE,POTTAWATOMIE,45100 HWY 3,OK,74801,OKLAHOMA,,N,,35.333268,-96.858137
FRS,110022632356,110022632356,WYNNEWOOD RW CORP,WYNNEWOOD,GARVIN,108 E ROBERT S KERR BLVD,OK,73098,OKLAHOMA,,N,,34.644928,-97.155721
FRS,110022633694,110022633694,COUNTRY STORE BBQ,ENID,GARFIELD,4600 N 81 BYPASS,OK,73701,OKLAHOMA,,N,,36.439563,-97.878694
FRS,110022583774,110022583774,AIR LIQUIDE SAND SPRINGS SITE,SAND SPRINGS,TULSA,403 SOUTH MAIN STREET,OK,74063,OKLAHOMA,,N,,36.113765,-96.109567
FRS,110006430380,110006430380,REFRACTORY ANCHORS,BROKEN ARROW,TULSA,9836 S 219TH E AVE,OK,74014,OKLAHOMA,,N,,36.021872,-95.724626
FRS,110022924843,110022924843,ELASTOMER SPECIALTIES POLYMER DIV,WAGONER,WAGONER,2210 S HWY 69,OK,74467,OKLAHOMA,,N,,35.988712,-95.373806
FRS,110024529367,110024529367,KOCH NITROGEN COMPANY,ENID,GARFIELD,1619 SOUTH 78,OK,73701,OKLAHOMA,,N,,36.379908,-97.764997
FRS,110024257739,110024257739,GLOBAL AIRWORKS,TULSA,TULSA,3315 N MEMORIAL,OK,74115,OKLAHOMA,,N,,36.210259,-95.886851
FRS,110031284018,110031284018,ATC DRIVETRAIN INC,OKLAHOMA CITY,CANADIAN,10001 NW 2ND,OK,73127,OKLAHOMA,N,N,,35.470166,-97.69158
FRS,110011448148,110011448148,TULSA PUBLIC SCHOOL,TULSA,TULSA,3027 S. NEW HAVEN,OK,74147,OKLAHOMA,,N,,36.11968,-95.933475
FRS,110037166492,110037166492,112TH STREET AND LEE BLVD PROPERTY,LAWTON,COMANCHE,112TH ST AND LEE BLVD,OK,73501,OKLAHOMA,,,,34.99903,-98.514968
FRS,110000455702,110000455702,US DOD MCALESTER ARMY AMMUNITION PLANT,MCALESTER,PITTSBURG,1 C TREE ROAD SJMMC-EM,OK,745019002,OKLAHOMA,Y,N,,34.846886,-95.898666
FRS,110022524062,110022524062,MID AMERICAN STEEL & WIRE CO,MADILL,MARSHALL,1327 SMILEY RD,OK,73446,OKLAHOMA,N,N,,34.068333,-96.754167
FRS,110022810485,110022810485,AMERISTAR FENCE PRODUCTS INC,TULSA,TULSA,1555 N MINGO RD,OK,74116,OKLAHOMA,N,N,,36.133333,-95.866667
FRS,110022523820,110022523820,PRECISE MACHINING & MANUFACTURING LLC,TULSA,TULSA,12716 E PINE ST,OK,74116,OKLAHOMA,N,N,,36.176944,-95.837222
FRS,110000550332,110000550332,TERRA NITROGEN L.P. VERDIGRI S PLANT,CLAREMORE,ROGERS,6606 EAST 540 ROAD,OK,74017,OKLAHOMA,,N,,36.23455,-95.71818
FRS,110030959782,110030959782,CACHE SERVICE STATION,,,,OK,,OKLAHOMA,N,,,34.6236,-98.6236
FRS,110026032175,110026032175,EUGENE FIELD SCHOOL,MCALESTER,PITTSBURG,,OK,74501,OKLAHOMA,,N,,34.95667,-95.76833
FRS,110025885601,110025885601,FAIRVIEW SCHOOL,LAVERTY,GRADY,,OK,,OKLAHOMA,,N,,34.91694,-98.02361
FRS,110025885497,110025885497,FAIRVIEW SCHOOL,ELK CITY,BECKHAM,,OK,73644,OKLAHOMA,,N,,35.4075,-99.42167
FRS,110025669603,110025669603,CARSON GROVE SCHOOL,NEW OBERLIN,CHOCTAW,,OK,,OKLAHOMA,,N,,33.89611,-95.8425
FRS,110026119233,110026119233,EUGENE FIELD SCHOOL,HUGO,CHOCTAW,,OK,74743,OKLAHOMA,,N,,34.01333,-95.50389
FRS,110026616712,110026616712,ARKOMA SCHOOL,SOUTH FORT SMITH,LE FLORE,,OK,,OKLAHOMA,,N,,35.34861,-94.43944
FRS,110025491340,110025491340,BISH SCHOOL,FORT SILL,COMANCHE,,OK,,OKLAHOMA,,N,,34.63389,-98.45528
FRS,110025680984,110025680984,SPERLING SCHOOL,RUSH SPRINGS,GRADY,,OK,73082,OKLAHOMA,,N,,34.75361,-97.90361
FRS,110026838260,110026838260,MERRITT SCHOOL,ELK CITY,BECKHAM,CORNER OF MERRITT RD. & LAKEVI,OK,73644,OKLAHOMA,,N,,35.37944,-99.47056
FRS,110025681144,110025681144,SPRINGDALE SCHOOL,CHANDLER,LINCOLN,,OK,74834,OKLAHOMA,,N,,35.62556,-96.89194
FRS,110025681493,110025681493,SUGARLOAF SCHOOL,MOYERS,PUSHMATAHA,,OK,,OKLAHOMA,,N,,34.25056,-95.74361
FRS,110025614191,110025614191,FLOWER MOUND SCHOOL,NINEMILE CREEK,COMANCHE,,OK,,OKLAHOMA,,N,,34.57889,-98.35194
