Source	Reference
AGFD, 1999a	Arizona Game and Fish Department. 1999. Amphibians by county. Unpublished report compiled by the Riparian Herpetofauna Database, Arizona Game and Fish Department, Phoenix. 11 pp.

AGFD, 1999b	Arizona Game and Fish Department. 1999. Amphibians by county for Arizona. Unpublished report compiled and edited by the Heritage Data Management System, Arizona Game and Fish Department, Phoenix. 3 pp.

Allen, 1932	Allen, M.J. 1932. A survey of the amphibians and reptiles of Harrison County, Mississippi. American Museum Novitates 542: 1-20.

Anderson, 1942	Anderson, P. 1942. Amphibians and reptiles of Jackson County, Missouri. Bulletin of the Chicago Academy of Sciences 6: 203-220.

Anderson, 1996	Anderson, L.R. 1996. Land Use and Anuran Biodiversity in Southeast Kansas. Unpublished Thesis, Pittsburg State University, Pittsburg, Kansas. 100 pp.

Andrews, 2000	Andrews, J.S. 2000. Vermont Herp Atlas: update. Vermont Nongame and Natural Heritage Program, Middlebury.

Anonymous, 1950	Anonymous. 1950. Six-legged frog caught near Erin by boy. Tennessee Conservationist 15: 13.

Ashton and Ashton, 1988	Ashton Jr., R.E. and P.S. Ashton. 1988. Handbook of Reptiles and Amphibians of Florida Part Three: The Amphibians. Windward Publishing, Inc., Miami. 191 pp.

Aubry et al., 1988	Aubry, K.B., L.L.C. Jones, and P.A. Hall. 1988. Use of woody debris by plethodontid salamanders in Douglas-fir forests in Washington. Pp. 32-37. In: R.C. Szaro, K.E. Severson, and D.R. Patton (Eds.), Management of Amphibians, Reptiles, and Small Mammals in North America, Proceedings of the Symposium. USDA Forest Service, Flagstaff.

Babbitt, 1937	Babbitt, L.H. 1937. The Amphibia of Connecticut. State Geological and Natural History Survey Bulletin Number 57. Peiper Press Inc., Wallingford, Connecticut. 50 pp. + plates.

Bahret, 1996	Bahret, R. 1996. Ecology of the lake dwelling Eurycea bislineata in the Shawangunk Mountains, New York. Journal of Herpetology 30(3): 399-401.

Bailey and Bailey, 1941	Bailey, R.M. and M.K. Bailey. 1941. The distribution of Iowa toads. Iowa State College Journal of Science 15: 169-177.

Baldwin and Stanford, 1987	Baldwin, K.S. and R.A.Stanford. 1987. Ambystoma tigrinum californiense: Predation. Herpetological Review 18(2): 33.

Barbour, 1971	Barbour, R.W. 1971. Amphibians and Reptiles of Kentucky. University Press of Kentucky, Lexington. 334 pp.

Barrentine, 1991	Barrentine, C.D. 1991. Survival of billbugs (Sphenophorus spp.) egested by western toads (Bufo boreas). Herpetological Review 22: 5.

Bartlett and Bartlett, 1999	Bartlett, R.D. and P.P. Bartlett. 1999. A Field Guide to Florida Reptiles and Amphibians. Gulf Publishing Company, Huston. 280 pp.

Bartley, 1959	Bartley, J.A. 1959. Two records of albinism in Eurycea b. bislineata Green. Herpetologica 15: 192.

Baxter and Stone, 1985	Baxter, G.T. and M.D. Stone. 1985. Amphibians and Reptiles of Wyoming, 2nd. Ed. Wyoming Game and Fish Department. 137 pp. 

Behre, 1953	Behre, E.H. 1953. Food of the salamander Triturus viridescens viridescens. Copeia 1953(1): 60.

BGSU, 1962	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

BGSU, 1966	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

BGSU, 1970	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

BGSU, 1971	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

