"tblid","profln","totcest","totcme","cest","cme"
,"0",,,,
,"1",,,,
"S0201","1","18,089,889","*****","399,411","+/-18,859"
,"2",,,,
"S0201","2","49.1","+/-0.1","53.4","+/-1.5"
"S0201","3","50.9","+/-0.1","46.6","+/-1.5"
,"3",,,,
"S0201","4","6.2","+/-0.1","8.9","+/-0.9"
"S0201","5","16.0","+/-0.1","15.5","+/-1.0"
"S0201","6","8.9","+/-0.1","13.4","+/-0.9"
"S0201","7","12.4","+/-0.1","21.8","+/-1.4"
"S0201","8","14.4","+/-0.1","17.5","+/-1.1"
"S0201","9","14.0","+/-0.1","12.5","+/-1.0"
"S0201","10","11.3","+/-0.1","6.5","+/-0.8"
"S0201","11","8.0","+/-0.1","2.1","+/-0.4"
"S0201","12","8.7","+/-0.1","1.7","+/-0.4"
,"12",,,,
"S0201","13","39.8","+/-0.1","30.2","+/-0.6"
,"13",,,,
"S0201","14","77.8","+/-0.1","75.6","+/-1.3"
"S0201","15","74.0","+/-0.1","70.7","+/-1.3"
"S0201","16","19.9","+/-0.1","5.5","+/-0.6"
"S0201","17","16.8","+/-0.1","3.9","+/-0.5"
,"17",,,,
"S0201","18","4,018,644","+/-2,193","97,343","+/-7,728"
"S0201","19","51.2","+/-0.1","50.0","+/-2.5"
"S0201","20","48.8","+/-0.1","50.0","+/-2.5"
,"20",,,,
"S0201","21","14,071,245","+/-2,191","302,068","+/-13,914"
"S0201","22","48.5","+/-0.1","54.5","+/-1.7"
"S0201","23","51.5","+/-0.1","45.5","+/-1.7"
,"23",,,,
"S0201","24","3,857,942","+/-6,733","140,639","+/-8,385"
"S0201","25","51.4","+/-0.1","61.0","+/-2.8"
"S0201","26","48.6","+/-0.1","39.0","+/-2.8"
,"26",,,,
"S0201","27","7,179,186","+/-6,802","145,936","+/-8,213"
"S0201","28","49.1","+/-0.1","50.3","+/-1.9"
"S0201","29","50.9","+/-0.1","49.7","+/-1.9"
,"29",,,,
"S0201","30","3,034,117","+/-3,207","15,493","+/-2,247"
"S0201","31","43.4","+/-0.1","35.4","+/-5.8"
"S0201","32","56.6","+/-0.1","64.6","+/-5.8"
,"32",,,,
,"33",,,,
"S0201","33","17,677,671","*****","396,807","+/-18,886"
"S0201","34","59.7","+/-0.2","43.4","+/-1.4"
"S0201","35","27.1","+/-0.2","28.9","+/-1.4"
"S0201","36","7.2","+/-0.2","15.0","+/-1.8"
"S0201","37","6.0","+/-0.1","12.6","+/-1.5"
"S0201","38","2.4","+/-0.1","2.4","+/-0.4"
,"38",,,,
,"39",,,,
"S0201","39","7,106,042","+/-22,495","113,725","+/-5,282"
"S0201","40","65.2","+/-0.2","77.0","+/-2.7"
"S0201","41","27.2","+/-0.2","44.1","+/-2.4"
"S0201","42","48.6","+/-0.3","46.8","+/-2.8"
"S0201","43","18.2","+/-0.2","28.4","+/-2.3"
