(CO-99-13) Population Estimates for Counties by Age Group:  July 1, 1998
  
Source:  Population Estimates Program, Population Division, U.S. Census Bureau, Washington, DC  20233
Contact:  Statistical Information Staff, Population Division, U.S. Census Bureau (301-457-2422)
          pop@census.gov (please include a phone number with email correspondence)
  
Internet Release Date:  August 30, 2000

                                        Total      Ages     Ages     Ages     Ages     Ages     Ages     Ages     Ages     Ages
Area Name                          Population       0-4     5-17    18-24    25-44    45-64      16+      21+      65+      85+
                                                                                                                               
    IOWA                              2861025    182733   539802   276610   807530   623650  2230065  2006114   430700    63533
Adair County                             8103       481     1521      484     1927     1904     6352     5872     1786      302
Adams County                             4386       268      759      244     1049     1093     3506     3236      973      155
Allamakee County                        14052       906     2808      913     3578     3168    10830     9892     2679      450
Appanoose County                        13568       790     2602      972     3402     3105    10670     9698     2697      411
Audubon County                           6806       416     1240      355     1539     1649     5370     4981     1607      284
Benton County                           25399      1736     5223     1798     7009     5792    19297    17608     3841      481
Black Hawk County                      120918      7254    22544    15101    33086    25849    94819    83764    17084     2181
Boone County                            26113      1608     4738     1907     7504     6058    20535    18862     4298      813
Bremer County                           23343      1248     4398     2724     5838     5356    18511    16269     3779      592
Buchanan County                         21152      1522     4847     1467     5617     4579    15596    14072     3120      378
Buena Vista County                      19412      1248     3610     2288     4910     3826    15166    13355     3530      556
Butler County                           15631       885     3107      959     3945     3535    12192    11144     3200      484
Calhoun County                          11373       627     2098      649     2894     2609     8992     8329     2496      424
Carroll County                          21616      1559     4662     1428     5448     4603    16122    14716     3916      655
Cass County                             14642       855     2786      834     3710     3422    11476    10593     3035      482
Cedar County                            17957      1060     3581     1157     5014     4121    13893    12789     3024      459
Cerro Gordo County                      46073      2849     8126     3869    12856    10147    36453    33066     8226     1209
Cherokee County                         13190       799     2604      751     3315     3090    10240     9403     2631      417
Chickasaw County                        13425       838     2849      829     3471     3094    10238     9322     2344      347
Clarke County                            8303       511     1604      540     2181     1945     6473     5925     1522      256
Clay County                             17474      1137     3447     1225     4815     3839    13399    12296     3011      480
Clayton County                          18711      1177     3911     1177     4784     4300    14313    13071     3362      495
Clinton County                          49924      3164     9728     3846    13754    11423    38726    35155     8009     1076
Crawford County                         16462      1054     3365     1190     4205     3800    12714    11404     2848      448
Dallas County                           36865      2447     7738     2526    11286     8311    27922    25455     4557      676
Davis County                             8462       564     1710      597     2156     1985     6489     5886     1450      249
Decatur County                           8241       464     1407     1213     1819     1761     6631     5615     1577      293
Delaware County                         18541      1300     4185     1311     4906     4069    13735    12450     2770      392
Des Moines County                       42069      2518     7910     3307    11699     9726    32964    30048     6909     1014
Dickinson County                        16209       822     2865      918     4225     4039    13001    12086     3340      431
Dubuque County                          87879      5537    17334     9009    24101    18944    68050    60483    12954     1825
Emmet County                            10850       591     2172      954     2612     2359     8500     7497     2162      348
Fayette County                          21794      1360     4237     1786     5445     4979    16936    15294     3987      586
Floyd County                            16369       955     3150     1116     3977     3984    12815    11738     3187      504
Franklin County                         10865       645     2068      647     2815     2564     8498     7857     2126      346
Fremont County                           7771       439     1553      472     1925     1830     6047     5531     1552      226
Greene County                           10075       566     1850      577     2472     2386     7955     7390     2224      341
Grundy County                           12234       714     2331      670     3120     3013     9601     8884     2386      313
Guthrie County                          11506       596     2206      646     2819     2972     9074     8399     2267      369
Hamilton County                         16010       960     3008     1019     4310     3801    12561    11543     2912      423
Hancock County                          12044       773     2514      727     3214     2627     9195     8408     2189      320
Hardin County                           18350       978     3460     1331     4484     4152    14567    13128     3945      666
Harrison County                         15336       988     3101     1022     3939     3579    11790    10740     2707      465
Henry County                            20038      1209     3715     1918     5845     4297    15766    14236     3054      520
Howard County                            9680       608     1962      544     2351     2248     7430     6869     1967      344
Humboldt County                         10327       610     1943      584     2575     2476     8092     7479     2139      291
Ida County                               7917       523     1603      420     1977     1707     6073     5584     1687      291
Iowa County                             15513      1035     2890      979     4287     3638    12073    11152     2684      435
Jackson County                          20139      1286     4144     1441     5139     4743    15452    14017     3386      467
Jasper County                           36541      2068     6764     2753    10422     8733    28938    26507     5801      745
Jefferson County                        17043      1014     3081     1128     5970     3619    13468    12402     2231      344
Johnson County                         102556      6271    14195    23777    34373    15861    84305    71265     8079     1135
Jones County                            20138      1190     3848     1645     5732     4500    15761    14370     3223      450
Keokuk County                           11469       679     2246      726     2889     2657     8919     8176     2272      378
Kossuth County                          17721      1106     3693      958     4471     4133    13553    12453     3360      550
Lee County                              38488      2325     7342     2872    10891     8880    30114    27521     6178      860
Linn County                            182779     11753    32930    18708    56091    40550   143815   129150    22747     2978
Louisa County                           11935       760     2446      994     3330     2663     9150     8269     1742      279
Lucas County                             9098       516     1642      602     2216     2258     7224     6630     1864      296
Lyon County                             12036       860     2660      774     2945     2613     8970     8121     2184      351
Madison County                          13888       875     2941      967     3807     3209    10603     9560     2089      353
Mahaska County                          21899      1454     4221     1938     5946     4700    16935    15305     3640      538
Marion County                           31327      1918     6036     3244     8334     6884    24386    21684     4911      705
Marshall County                         38740      2303     7196     2921    10764     9114    30536    27828     6442     1002
Mills County                            14481       853     3102     1000     4371     3309    11126    10002     1846      259
Mitchell County                         11033       664     2139      677     2589     2601     8638     7913     2363      444
Monona County                           10068       536     1869      543     2331     2461     7986     7382     2328      402
Monroe County                            8033       457     1564      549     2012     1892     6276     5747     1559      269
Montgomery County                       11850       664     2229      757     3090     2683     9359     8551     2427      435
Muscatine County                        40991      2870     8470     3546    12013     8551    31051    28029     5541      840
O'Brien County                          14887       884     2979      938     3655     3305    11516    10545     3126      552
Osceola County                           6956       454     1391      467     1732     1583     5349     4876     1329      254
Page County                             17271       883     3154     1322     4687     3836    13806    12612     3389      578
Palo Alto County                        10059       568     2024      714     2283     2351     7822     7035     2119      388
Plymouth County                         24609      1666     5387     1770     6334     5465    18413    16709     3987      639
Pocahontas County                        8815       545     1665      413     2120     2152     6879     6390     1920      334
Polk County                            359713     25268    63406    36867   117139    76488   281679   255293    40545     5277
Pottawattamie County                    86190      5941    16841     7318    24532    19723    66268    59882    11835     1480
Poweshiek County                        18759      1042     3407     2213     4725     4103    14939    13063     3269      521
Ringgold County                          5358       262      965      280     1216     1333     4301     3987     1302      212
Sac County                              11893       736     2345      659     2875     2702     9181     8498     2576      465
Scott County                           158333     11289    31907    14676    48373    33644   120400   108619    18444     2189
Shelby County                           12934       774     2583      775     3166     2959    10021     9189     2677      443
Sioux County                            31425      2187     6780     4259     7426     6091    23490    19997     4682      665
Story County                            74875      4221    10568    19778    20480    12071    61777    50884     7757     1183
Tama County                             17766      1066     3447     1195     4373     4278    13846    12695     3407      577
Taylor County                            7149       397     1425      417     1696     1679     5563     5112     1535      251
Union County                            12522       723     2478     1019     3309     2744     9777     8767     2249      392
Van Buren County                         7862       516     1489      507     1948     1864     6092     5623     1538      218
Wapello County                          35387      2100     6208     3030     9426     8244    28175    25477     6379      887
Warren County                           40209      2598     8284     4033    11693     9055    30805    27133     4546      672
Washington County                       20938      1427     4075     1436     5754     4570    16111    14796     3676      637
Wayne County                             6677       391     1171      364     1543     1591     5320     4945     1617      307
Webster County                          38975      2544     7201     3343    10329     8747    30437    27513     6811     1134
Winnebago County                        11942       716     2226     1090     3082     2532     9396     8281     2296      370
Winneshiek County                       20962      1259     3672     3475     5058     4226    16660    14040     3272      506
Woodbury County                        101547      7346    20964     9367    29121    20839    76635    68781    13910     2022
Worth County                             7742       453     1443      505     1980     1852     6093     5599     1509      282
Wright County                           14039       861     2489      860     3539     3255    11101    10317     3035      515


The estimates presented here were produced by a method which is still in a developmental stage.  They
may not be accurate for populations which are very small or have unusual distributions.  These figures
should be used with caution.
