-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    ECMWF_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
KARR        49718.000    1995     1     1     0
KARR        52274.750    2001    12    31    18
KARR     -2713832.258  5303935.087 -2269515.012
KARR          -20.981      117.097      109.141
KARR     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     0.085038    -0.064624     0.713719
49718.25     0.208772    -0.233745     1.780735
49718.50     0.152395    -0.183284     1.032112
49718.75     0.179313    -0.172279     1.095454
49719.00     0.142091    -0.092101     0.760291
49719.25     0.295889    -0.252128     1.823148
49719.50     0.313332    -0.219449     1.334131
49719.75     0.361536    -0.229647     1.621892
49720.00     0.300842    -0.135506     1.238442
49720.25     0.455651    -0.317862     2.264632
49720.50     0.454521    -0.282549     1.710599
49720.75     0.448169    -0.248322     1.751690
49721.00     0.361637    -0.128657     1.381012
49721.25     0.458969    -0.280563     2.257540
49721.50     0.379352    -0.223699     1.421614
49721.75     0.354999    -0.230833     1.650440
49722.00     0.228224    -0.138413     1.213771
49722.25     0.288473    -0.303442     2.173655
49722.50     0.216331    -0.240581     1.506878
49722.75     0.131392    -0.183832     1.348932
49723.00    -0.019957    -0.041928     0.717979
49723.25     0.062811    -0.186053     1.664827
49723.50     0.013093    -0.103050     1.123455
49723.75    -0.038131    -0.082540     1.238874
49724.00    -0.152759     0.028381     0.862463
49724.25    -0.001135    -0.160861     2.106238
49724.50    -0.001652    -0.073138     1.603393
49724.75     0.005117    -0.058205     1.697043
49725.00    -0.075889     0.024391     1.144848
49725.25     0.176549    -0.202306     2.492541
49725.50     0.204513    -0.143862     1.826037
49725.75     0.228431    -0.166716     1.880646
49726.00     0.154374    -0.088397     1.355030
49726.25     0.317099    -0.265145     2.461143
49726.50     0.288160    -0.182619     1.733702
49726.75     0.280528    -0.200611     1.700993
49727.00     0.153643    -0.102082     0.979226
49727.25     0.296585    -0.307290     2.120468
49727.50     0.270257    -0.227530     1.456453
49727.75     0.210495    -0.173996     1.330975
49728.00     0.052187    -0.039730     0.527039
49728.25     0.145517    -0.234039     1.526064
49728.50     0.063481    -0.152787     0.638645
49728.75     0.087988    -0.199633     0.996187
49729.00     0.054006    -0.142122     0.799854
49729.25     0.323744    -0.382174     2.432749
49729.50     0.385532    -0.371162     2.121678
49729.75     0.476476    -0.439453     2.687573
49730.00     0.487100    -0.374225     2.707815
49730.25     0.695274    -0.563479     3.986197
49730.50     0.725592    -0.491417     3.577007
49730.75     0.660162    -0.423775     3.350390
49731.00     0.595375    -0.326312     3.020032
49731.25     0.691982    -0.479588     4.001675
49731.50     0.629941    -0.429885     3.412277
49731.75     0.557884    -0.416047     3.374996
49732.00     0.426834    -0.343422     2.949338
49732.25     0.582085    -0.552506     4.251326
49732.50     0.540974    -0.514819     3.761065
49732.75     0.526975    -0.548955     3.916448
49733.00     0.467132    -0.501213     3.718981
49733.25     0.656181    -0.678486     5.088366
49733.50     0.670814    -0.633118     4.529162
49733.75     0.634872    -0.610063     4.408298
49734.00     0.548331    -0.537373     4.026710
49734.25     0.657553    -0.678842     4.992625
49734.50     0.617863    -0.589379     4.250990
49734.75     0.553330    -0.558399     4.019370
49735.00     0.437876    -0.481795     3.552079
49735.25     0.563990    -0.625404     4.421790
49735.50     0.583501    -0.569925     3.818996
49735.75     0.577622    -0.573838     3.663615
49736.00     0.520362    -0.471484     3.099651
49736.25     0.669716    -0.632623     4.209599
49736.50     0.659417    -0.557106     3.563932
49736.75     0.643816    -0.507150     3.444504
49737.00     0.522549    -0.379751     2.772017
49737.25     0.614803    -0.485752     3.614453
49737.50     0.565372    -0.392264     2.898513
49737.75     0.498915    -0.297917     2.722305
49738.00     0.397330    -0.166962     2.251020
49738.25     0.523603    -0.333570     3.379242
49738.50     0.518792    -0.306373     2.929519
49738.75     0.502737    -0.308577     3.099353
49739.00     0.421035    -0.194622     2.618557
49739.25     0.570496    -0.368238     3.679591
49739.50     0.564844    -0.356469     3.011875
49739.75     0.539265    -0.339582     2.938622
49740.00     0.452641    -0.274228     2.406017
49740.25     0.573498    -0.427127     3.449829
49740.50     0.539294    -0.346176     2.759479
49740.75     0.528285    -0.333883     2.814583
49741.00     0.442715    -0.242183     2.266384
49741.25     0.575330    -0.413478     3.469001
49741.50     0.524958    -0.342038     2.681773
49741.75     0.512629    -0.333604     2.827031
49742.00     0.382852    -0.245895     2.208814
49742.25     0.484329    -0.415891     3.248470
49742.50     0.438325    -0.359306     2.575788
49742.75     0.449383    -0.388398     2.834382
49743.00     0.327537    -0.326594     2.352175
49743.25     0.477642    -0.504946     3.679882
49743.50     0.470302    -0.489902     3.341067
49743.75     0.466385    -0.498237     3.503988
49744.00     0.394744    -0.430290     3.161048
49744.25     0.555864    -0.600079     4.443290
49744.50     0.544405    -0.546151     3.880292
49744.75     0.527359    -0.543251     3.969244
49745.00     0.438672    -0.441175     3.474528
49745.25     0.554154    -0.567129     4.460337
49745.50     0.508201    -0.508249     3.845196
49745.75     0.484026    -0.511859     3.980674
49746.00     0.337153    -0.408373     3.469042
49746.25     0.435027    -0.524000     4.511651
49746.50     0.420774    -0.459947     4.221484
49746.75     0.439657    -0.456343     4.710707
49747.00     0.314107    -0.274789     4.245758
49747.25     0.427287    -0.386682     5.187516
49747.50     0.347153    -0.265913     4.429178
49747.75     0.255578    -0.221045     4.017188
49748.00     0.125111    -0.120922     3.530640
49748.25     0.227045    -0.275038     4.369949
49748.50     0.145694    -0.235704     3.620461
49748.75     0.092599    -0.248349     3.442953
49749.00    -0.024091    -0.166672     2.902597
49749.25     0.062649    -0.336497     3.715262
49749.50     0.031838    -0.321477     2.996004
49749.75     0.026237    -0.299501     2.899594
49750.00    -0.063329    -0.229297     2.266876
49750.25     0.121185    -0.408414     3.365607
49750.50     0.157846    -0.390473     2.867564
49750.75     0.160853    -0.378421     2.604647
49751.00     0.136290    -0.244146     1.953104
49751.25     0.352246    -0.420968     2.954693
49751.50     0.373776    -0.396369     2.293046
49751.75     0.381355    -0.415096     2.261882
49752.00     0.285734    -0.325661     1.749850
49752.25     0.433586    -0.486359     2.811197
49752.50     0.389660    -0.407093     2.107663
49752.75     0.319605    -0.318561     1.720059
49753.00     0.116255    -0.128732     0.842890
49753.25     0.194105    -0.220247     1.638341
49753.50     0.101727    -0.073172     0.646324
49753.75     0.000658    -0.013945     0.447565
49754.00    -0.107524     0.115213    -0.045872
49754.25     0.009290    -0.043015     0.976690
49754.50    -0.019134     0.029441     0.230706
49754.75    -0.068764     0.055443     0.004383
49755.00    -0.198445     0.168031    -0.609824
49755.25    -0.067640    -0.020108     0.465702
49755.50    -0.094008     0.090426    -0.303256
49755.75    -0.119727     0.067222    -0.248464
49756.00    -0.217840     0.129193    -0.570610
49756.25    -0.060932    -0.055979     0.561457
49756.50    -0.125184     0.037501    -0.230896
49756.75    -0.075369    -0.032740     0.239558
49757.00    -0.158381     0.035549    -0.046444
49757.25    -0.006613    -0.122397     1.087310
49757.50    -0.027545    -0.086896     0.615268
49757.75     0.065337    -0.145835     1.157418
49758.00     0.022285    -0.094823     0.970798
49758.25     0.197713    -0.273034     2.088183
49758.50     0.167030    -0.253071     1.456043
49758.75     0.264954    -0.268516     1.916056
49759.00     0.236693    -0.236666     1.856673
49759.25     0.385979    -0.390532     2.929482
49759.50     0.346323    -0.285004     2.209508
49759.75     0.397526    -0.307139     2.596306
49760.00     0.307416    -0.203603     2.229008
49760.25     0.466760    -0.388632     3.523244
49760.50     0.421798    -0.284773     2.868363
49760.75     0.439064    -0.333379     3.237688
49761.00     0.397363    -0.294885     3.218250
49761.25     0.532083    -0.455476     4.216557
49761.50     0.523746    -0.405980     3.603750
49761.75     0.559889    -0.456610     3.775945
49762.00     0.464283    -0.378156     3.318542
49762.25     0.545943    -0.531596     4.110336
49762.50     0.460271    -0.445495     3.289909
49762.75     0.430673    -0.466184     3.370706
49763.00     0.281287    -0.373186     2.939878
49763.25     0.360988    -0.497186     3.814736
49763.50     0.253770    -0.393012     2.994759
49763.75     0.222129    -0.372512     2.918382
49764.00     0.114573    -0.244025     2.378784
49764.25     0.227276    -0.333234     3.068202
49764.50     0.161998    -0.220312     2.121249
49764.75     0.191304    -0.227702     2.232381
49765.00     0.110601    -0.119593     1.822678
49765.25     0.224303    -0.255706     2.648922
