-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :   ECMWF_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
CCV1        49718.000    1995     1     1     0
CCV1        52274.750    2001    12    31    18
CCV1       921997.870 -5535327.766  3021401.158
CCV1           28.460      -80.543      -24.215
CCV1     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     0.845556    -0.212085    -0.931941
49718.25     0.808599    -0.240532    -0.909134
49718.50     1.000367    -0.168862    -0.452124
49718.75     0.935509    -0.307426    -0.704005
49719.00     1.090159    -0.264865    -0.378374
49719.25     1.042922    -0.272184    -0.420713
49719.50     0.987545    -0.247260    -0.420331
49719.75     0.755267    -0.378920    -0.961690
49720.00     0.873311    -0.354663    -0.824087
49720.25     0.721690    -0.343837    -1.079891
49720.50     0.611480    -0.298105    -1.052690
49720.75     0.555533    -0.386674    -1.352749
49721.00     0.798672    -0.373288    -1.061316
49721.25     0.688323    -0.426741    -1.308112
49721.50     0.971212    -0.370538    -1.065684
49721.75     1.135636    -0.525479    -1.317706
49722.00     1.453838    -0.533431    -1.089468
49722.25     1.532856    -0.584502    -1.166478
49722.50     1.837046    -0.480290    -0.793507
49722.75     1.832129    -0.545357    -0.796264
49723.00     2.136559    -0.392664     0.000338
49723.25     1.925063    -0.294287     0.349666
49723.50     1.818391    -0.148253     0.935366
49723.75     1.228176    -0.175294     1.021063
49724.00     1.005919    -0.148219     1.497687
49724.25     0.458367    -0.260922     1.217654
49724.50     0.272754    -0.255575     1.127737
49724.75     0.062620    -0.466391     0.285248
49725.00     0.252849    -0.485475     0.093224
49725.25    -0.100401    -0.559331    -0.709200
49725.50    -0.005837    -0.513588    -0.843334
49725.75    -0.061437    -0.603026    -1.354275
49726.00     0.244142    -0.528354    -1.116092
49726.25     0.128942    -0.503143    -1.254752
49726.50     0.240059    -0.389324    -1.044920
49726.75     0.055081    -0.437712    -1.451553
49727.00     0.402720    -0.329587    -1.173793
49727.25     0.342591    -0.285505    -1.424218
49727.50     0.462834    -0.150435    -1.236510
49727.75     0.422080    -0.186134    -1.399125
49728.00     0.821572    -0.082397    -0.889215
49728.25     0.844314    -0.055059    -0.934510
49728.50     0.933442     0.078393    -0.492432
49728.75     0.796060     0.007277    -0.588979
49729.00     0.910183     0.073835    -0.148298
49729.25     0.522669     0.026429    -0.380977
49729.50     0.419692     0.112954    -0.028116
49729.75     0.091617     0.006153    -0.273521
49730.00     0.029253     0.060003     0.135116
49730.25    -0.322677     0.055322    -0.051869
49730.50    -0.441591     0.181253     0.267994
49730.75    -0.766838     0.127656    -0.015823
49731.00    -0.725696     0.230564     0.456883
