

"tblid","profln","totcest","totcme","cest","cme"
" ","           0"," "," "," "," "
" ","           1"," "," "," "," "
"S0201","           1","4,455,217","*****","           683,977","            +/-15,067"
" ","           2"," "," "," "," "
"S0201","           2","     48.6","               +/-0.1","              47.6","               +/-0.8"
"S0201","           3","     51.4","               +/-0.1","              52.4","               +/-0.8"
" ","           3"," "," "," "," "
"S0201","           4","      6.2","               +/-0.1","               7.5","               +/-0.5"
"S0201","           5","     16.5","               +/-0.1","              19.0","               +/-0.7"
"S0201","           6","      9.8","               +/-0.1","               9.7","               +/-0.5"
"S0201","           7","     12.7","               +/-0.1","              12.1","               +/-0.6"
"S0201","           8","     16.0","               +/-0.1","              15.2","               +/-0.6"
"S0201","           9","     15.3","               +/-0.1","              13.8","               +/-0.6"
"S0201","          10","     11.0","               +/-0.1","              10.0","               +/-0.6"
"S0201","          11","      6.3","               +/-0.1","               6.0","               +/-0.4"
"S0201","          12","      6.3","               +/-0.1","               6.7","               +/-0.4"
" ","          12"," "," "," "," "
"S0201","          13","     38.2","               +/-0.2","              36.1","               +/-0.7"
" ","          13"," "," "," "," "
"S0201","          14","     77.4","               +/-0.1","              73.5","               +/-0.7"
"S0201","          15","     72.9","               +/-0.1","              69.3","               +/-0.8"
"S0201","          16","     15.4","               +/-0.1","              15.2","               +/-0.7"
"S0201","          17","     12.6","               +/-0.1","              12.7","               +/-0.6"
" ","          17"," "," "," "," "
"S0201","          18","1,008,768","             +/-1,151","           181,077","             +/-7,350"
"S0201","          19","     51.2","               +/-0.2","              50.8","               +/-1.7"
"S0201","          20","     48.8","               +/-0.2","              49.2","               +/-1.7"
" ","          20"," "," "," "," "
"S0201","          21","3,446,449","             +/-1,151","           502,900","            +/-10,728"
"S0201","          22","     47.8","               +/-0.1","              46.4","               +/-1.1"
"S0201","          23","     52.2","               +/-0.1","              53.6","               +/-1.1"
" ","          23"," "," "," "," "
"S0201","          24","1,004,584","             +/-1,918","           149,246","             +/-5,429"
"S0201","          25","     50.0","               +/-0.1","              47.8","               +/-2.1"
"S0201","          26","     50.0","               +/-0.1","              52.2","               +/-2.1"
" ","          26"," "," "," "," "
"S0201","          27","1,880,393","             +/-2,001","           266,760","             +/-8,187"
"S0201","          28","     48.7","               +/-0.1","              47.1","               +/-1.3"
"S0201","          29","     51.3","               +/-0.1","              52.9","               +/-1.3"
" ","          29"," "," "," "," "
"S0201","          30","  561,472","             +/-1,033","            86,894","             +/-4,143"
"S0201","          31","     40.9","               +/-0.1","              41.9","               +/-2.1"
"S0201","          32","     59.1","               +/-0.1","              58.1","               +/-2.1"
" ","          32"," "," "," "," "
" ","          33"," "," "," "," "
"S0201","          33","4,311,591","             +/-2,612","           668,983","            +/-14,909"
"S0201","          34","     58.0","               +/-0.4","              55.1","               +/-0.8"
