-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    NCEP_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
BRU1        49718.000    1995     1     1     0
BRU1        52274.750    2001    12    31    18
BRU1      1578685.158 -4324849.945  4399278.141
BRU1           43.890      -69.947        1.902
BRU1     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     0.234848    -0.582697    -2.378418
49718.25     0.154156    -0.429429    -1.323274
49718.50     0.284086    -0.027912     0.028342
49718.75    -0.087866    -0.095994     1.180571
49719.00     0.095575    -0.224966     1.758502
49719.25     0.057021    -0.007321     2.267065
49719.50    -0.081980     0.225849     2.770721
49719.75    -0.524801    -0.122854     2.782334
49720.00    -0.418516    -0.420255     2.180640
49720.25    -0.582724    -0.480884     0.987929
49720.50    -0.522182    -0.273987     0.138111
49720.75    -0.609959    -0.396790    -0.500015
49721.00    -0.226430    -0.429758    -0.775739
49721.25    -0.274275    -0.371747    -0.292737
49721.50    -0.123003    -0.180887     0.531601
49721.75    -0.347776    -0.398140     1.416423
49722.00     0.128649    -0.586348     1.490738
49722.25     0.182237    -0.620691     1.654512
49722.50     0.515293    -0.388511     1.788104
49722.75     0.400442    -0.475539     2.073351
49723.00     0.800494    -0.433441     2.609361
49723.25     0.819723    -0.354371     2.999094
49723.50     0.898020    -0.220470     2.955986
49723.75     0.489301    -0.326796     3.041385
49724.00     0.525732    -0.404117     3.365877
49724.25     0.185089    -0.287312     4.086555
49724.50    -0.212461    -0.053608     5.492905
49724.75    -0.752297    -0.610616     5.660865
49725.00    -0.437673    -0.872123     2.821402
49725.25    -0.599947    -0.763518     0.986707
49725.50    -0.509872    -0.541909     0.160314
49725.75    -0.806221    -0.578388    -0.164335
49726.00    -0.395939    -0.631933    -0.514708
49726.25    -0.512129    -0.550784    -0.507422
49726.50    -0.346115    -0.395253    -0.781625
49726.75    -0.537011    -0.587534    -1.591054
49727.00     0.049124    -0.707126    -2.742195
49727.25     0.105438    -0.615957    -3.648138
49727.50     0.390723    -0.437999    -4.401836
49727.75     0.414229    -0.556161    -5.137436
49728.00     0.993348    -0.510644    -5.454367
49728.25     1.104653    -0.412053    -5.810747
49728.50     1.363169    -0.097614    -5.643294
49728.75     1.137911    -0.155717    -5.637330
49729.00     1.388519    -0.099810    -5.282134
49729.25     0.983361     0.072257    -4.556090
49729.50     0.898430     0.407056    -3.378718
49729.75     0.287556     0.228525    -2.250358
49730.00     0.137367     0.113575    -1.356296
49730.25    -0.335349     0.022300    -1.016357
49730.50    -0.389102     0.013109    -0.951103
49730.75    -0.543248    -0.305244    -2.399068
49731.00    -0.294035    -0.389183    -3.179587
49731.25    -0.323620    -0.376377    -3.573346
49731.50    -0.334736    -0.143126    -3.282817
49731.75    -0.698384    -0.329008    -3.541980
49732.00    -0.560315    -0.342156    -3.065190
49732.25    -0.864609    -0.295400    -2.568518
49732.50    -0.999881    -0.141972    -1.404506
49732.75    -1.354802    -0.374518    -0.602092
49733.00    -1.140830    -0.506990    -0.222155
49733.25    -1.239550    -0.505300    -0.578502
49733.50    -1.144619    -0.339896    -0.554958
49733.75    -1.121530    -0.483348    -1.614757
49734.00    -0.874389    -0.551416    -1.728622
49734.25    -0.887273    -0.598520    -1.936244
49734.50    -0.686317    -0.504288    -1.825244
49734.75    -0.681921    -0.735348    -2.715182
49735.00    -0.277900    -0.836052    -3.522531
49735.25    -0.119391    -0.709365    -4.458686
49735.50    -0.084825    -0.491628    -4.770262
49735.75    -0.284427    -0.616338    -5.217138
49736.00     0.009110    -0.705575    -5.006554
49736.25    -0.225394    -0.589320    -4.022591
49736.50    -0.268424    -0.350676    -3.133144
49736.75    -0.691646    -0.401228    -2.374769
49737.00    -0.544682    -0.398508    -1.725680
49737.25    -0.746032    -0.171795    -0.828029
49737.50    -0.863352     0.172798     0.324041
49737.75    -1.230925     0.170318     1.175303
49738.00    -1.134617     0.148884     1.942007
49738.25    -1.248295     0.250976     2.903389
49738.50    -1.296733     0.382207     3.240918
49738.75    -1.510809     0.192891     2.603453
49739.00    -1.255344     0.003274     2.120874
49739.25    -1.287856    -0.055500     2.013973
49739.50    -1.286541     0.049906     2.097262
49739.75    -1.483188    -0.141650     2.033300
49740.00    -1.162860    -0.297523     1.960040
49740.25    -1.257425    -0.296750     2.063114
49740.50    -1.271331    -0.158128     1.919602
49740.75    -1.400070    -0.300225     1.472843
49741.00    -1.301368    -0.368607     0.885470
49741.25    -1.361925    -0.332947     0.762737
49741.50    -1.349606    -0.148325     1.081063
49741.75    -1.713039    -0.475270     0.863152
49742.00    -1.632714    -0.700261     0.398741
49742.25    -1.728155    -0.775748     0.305911
49742.50    -1.772719    -0.611971     0.370366
49742.75    -2.066550    -0.803552     0.066298
49743.00    -1.722298    -0.836525     0.112783
49743.25    -1.914373    -0.804349     0.304454
