                             NPP Tropical Forest Site Information, September 2001 
                        Table TF-3.  Ecoregion (Bailey), and Above-ground Biomass
                                  in alphabetical order of Ecoregion

                                                                      Above ground
Site Name                   Ecoregion, modified after Bailey (1989)   live biomass g/m2   

Chamela                     Forest-meadow-paramo (M421)                8,500 g/m2 
La Selva                    Humid montane forest-paramo (M422)        22,100 g/m2
Luquillo                    Humid montane forest-savanna (M411)       22,800 g/m2 (El Verde)   
Marafunga                   Humid montane forest-savanna (M422)       31,000 g/m2
San Eusebio                 Humid montane forest (M420)               34,770 g/m2
Atherton                    Humid tropical forest (421)               N/A
Barro Colorado              Humid tropical forest (421)               20,600 g/m2   
Darien                      Humid tropical forest (421)               36,796 g/m2
Khao Chong                  Humid tropical forest (421)               37,200 g/m2
Magdalena                   Humid tropical forest (421)               32,580 g/m2   
Turrialba                   Humid tropical forest (421)                1,551 g/m2
Bacia Modelo                Humid tropical forest (423)               N/A
Gunung Mulu                 Humid tropical forest (423)               25,000-65,000 g/m2
Manaus                      Humid tropical forest (423)               N/A 
Pasoh                       Humid tropical forest (423)               47,500 g/m2
San Carlos de Rio Negro     Humid tropical forest (423)               26,400 g/m2 (oxisol)
John Crow Ridge             Humid tropical forest (423)/ 
                                      montane savanna (M410)          28,320 g/m2
Anguededou                  Seasonally dry mixed forest (422)         24,250 g/m2
Banco                       Seasonally dry mixed forest (422)         51,300 g/m2
Cinnamon Bay                Seasonally dry mixed forest (422)         13,150-15,040 g/m2
Kade                        Seasonally dry mixed forest (422)         23,568 g/m2
Yapo                        Seasonally dry mixed forest (422)         43,100 g/m2
  
 
