CONTINENT	SLCR2.0	SLCR1.2	PIXELS	12 Month Mean NDVI	Update	SLCR 2.0 LABEL	OGE V2.0	OLSON	STRUCTURE	FOLIAGE	SEASON	IGBP V2.0	IGBP	BATS V2.0	BATS	SIB V2.0	SIB	SIB2 V2.0	SIB2	USGS V2.0	USGS	RUN V2.0	RUNNING	BIOME_CODE	LOCATION	REGION	BIOME	Elevation Mean	Elevation Standard Deviation	APR '92 Mean NDVI	MAY '92 Mean NDVI	JUN '92 Mean NDVI	JUL '92 Mean NDVI	AUG '92 Mean NDVI	SEP '92 Mean NDVI	OCT '92 Mean NDVI	NOV '92 Mean NDVI	DEC '92 Mean NDVI	JAN '93 Mean NDVI	FEB '93 Mean NDVI	MAR '93 Mean NDVI
AP	1	78	6870	84.41		Lowland Tropical Rain Forest	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	Scattered Indonesia Islands	Tropical/Subtropical	Evergreen Rain Forests	82.58	62.32	107.36	130.36	73.81	74.69	1.04	93.39	5.07	106.87	89.36	101.45	110.65	124.36
AP	2	79	21220	86.12		Tropical Evergreen Rainforest	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	Sumatra	Tropical/Subtropical	Evergreen Rain Forests	871.27	590.70	104.25	108.80	52.93	69.01	37.23	93.91	92.42	96.65	96.09	96.04	99.48	92.16
AP	3	80	35639	109.00		Tropical Evergreen Rainforest	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	Sumatra	Tropical/Subtropical	Evergreen Rain Forests	522.26	544.31	111.12	137.32	108.94	95.52	77.04	116.89	107.90	111.29	108.15	109.56	121.04	108.67
AP	4	81	34192	112.76		Tropical Evergreen Rainforest with Rubber Plantations	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	Sumatra	Tropical/Subtropical	Evergreen Rain Forests	324.37	414.31	111.47	154.18	112.44	99.84	73.36	120.54	109.37	114.49	107.04	112.75	127.10	115.97
AP	5	82	23671	114.23		Tropical Evergreen Rainforest	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	Sumatra	Tropical/Subtropical	Evergreen Rain Forests	884.37	702.56	108.82	112.55	109.83	108.99	100.45	128.28	113.36	113.67	111.60	113.40	131.23	124.09
AP	6	84	21694	121.40		Tropical Evergreen Rainforest	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	Sumatra	Tropical/Subtropical	Evergreen Rain Forests	515.66	578.43	145.04	116.26	128.60	99.51	111.09	126.24	120.03	117.28	118.60	115.44	136.65	127.56
AP	7	85	30624	127.60		Tropical Evergreen Rainforest	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	New Guinea, Celebes	Tropical/Subtropical	Evergreen Rain Forests	1300.51	748.47	123.85	121.10	118.29	140.20	141.91	148.69	147.96	128.36	112.92	119.86	119.43	114.08
AP	8	86	22539	128.67		Tropical Evergreen Montane Forest	28	MONTANE TROPICAL FORESTS	MONTANE MEDIUM-LOW WOODLANDS, HERBS	EVERGREEN WOODS/HERBS	MILD	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	New Guinea	Tropical/Subtropical	Evergreen Rain Forests	988.59	754.69	138.97	129.53	109.65	113.68	119.81	149.41	150.47	154.20	109.28	106.86	119.69	148.04
AP	9	87	42494	129.17		Tropical Evergreen Forest with Rubber Plantations	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	Sumatra	Tropical/Subtropical	Evergreen Rain Forests	181.22	309.14	152.19	136.46	135.07	115.88	112.77	131.86	130.50	124.47	124.94	119.92	137.60	133.83
AP	10	88	17542	130.18		Tropical Evergreen Rainforest	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	Borneo, Java	Tropical/Subtropical	Evergreen Rain Forests	587.36	739.17	134.13	147.24	133.07	132.68	134.30	142.61	116.20	134.09	114.68	130.64	136.64	111.39
