"tblid","profln","totcest","totcme","cest","cme"
,"0",,,,
,"1",,,,
"S0201","1","3,700,758","*****","86,076","+/-3,238"
,"2",,,,
"S0201","2","49.5","+/-0.1","50.4","+/-2.2"
"S0201","3","50.5","+/-0.1","49.6","+/-2.2"
,"3",,,,
"S0201","4","6.2","+/-0.1","12.8","+/-1.5"
"S0201","5","17.0","+/-0.1","25.9","+/-1.8"
"S0201","6","9.2","+/-0.1","11.3","+/-1.7"
"S0201","7","13.9","+/-0.1","12.4","+/-1.3"
"S0201","8","13.8","+/-0.1","12.7","+/-1.4"
"S0201","9","15.1","+/-0.1","12.2","+/-1.4"
"S0201","10","11.8","+/-0.1","6.5","+/-0.8"
"S0201","11","6.5","+/-0.1","3.6","+/-0.7"
"S0201","12","6.4","+/-0.1","2.4","+/-0.9"
,"12",,,,
"S0201","13","37.6","+/-0.2","25.0","+/-1.1"
,"13",,,,
"S0201","14","76.8","+/-0.1","61.3","+/-1.5"
"S0201","15","72.7","+/-0.2","55.7","+/-1.7"
"S0201","16","15.7","+/-0.1","7.7","+/-1.1"
"S0201","17","12.9","+/-0.1","6.1","+/-0.9"
,"17",,,,
"S0201","18","857,617","+/-1,304","33,303","+/-2,258"
"S0201","19","51.1","+/-0.3","49.1","+/-4.1"
"S0201","20","48.9","+/-0.3","50.9","+/-4.1"
,"20",,,,
"S0201","21","2,843,141","+/-1,304","52,773","+/-1,567"
"S0201","22","49.1","+/-0.1","51.2","+/-2.0"
"S0201","23","50.9","+/-0.1","48.8","+/-2.0"
,"23",,,,
"S0201","24","855,770","+/-3,124","20,461","+/-1,616"
"S0201","25","51.4","+/-0.1","49.0","+/-3.3"
"S0201","26","48.6","+/-0.1","51.0","+/-3.3"
,"26",,,,
"S0201","27","1,510,506","+/-3,537","27,079","+/-1,500"
"S0201","28","49.6","+/-0.1","55.1","+/-2.9"
"S0201","29","50.4","+/-0.1","44.9","+/-2.9"
,"29",,,,
"S0201","30","476,865","+/-2,392","5,233","+/-755"
"S0201","31","43.3","+/-0.2","40.1","+/-7.9"
"S0201","32","56.7","+/-0.2","59.9","+/-7.9"
,"32",,,,
,"33",,,,
"S0201","33","3,620,771","*****","81,749","+/-3,365"
"S0201","34","59.9","+/-0.4","42.5","+/-2.4"
"S0201","35","27.9","+/-0.3","41.1","+/-2.5"
"S0201","36","5.1","+/-0.2","7.9","+/-2.2"
"S0201","37","7.1","+/-0.3","8.5","+/-1.9"
"S0201","38","2.9","+/-0.1","3.0","+/-0.9"
,"38",,,,
,"39",,,,
"S0201","39","1,449,662","+/-7,388","26,237","+/-1,647"
"S0201","40","64.0","+/-0.6","57.5","+/-5.5"
"S0201","41","28.8","+/-0.6","35.9","+/-5.2"
"S0201","42","49.6","+/-0.6","27.7","+/-4.7"
"S0201","43","20.0","+/-0.5","12.6","+/-3.7"
