"TBLID","ORDER","TITLE","estout","CME","CLB","CUB"
"B08406",.,"SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY",,,,
"B08406",.,"Universe:  Workers 16 years and over",,,,
"B08406",1.000,"Total:","937,270","+/-12,613","924,657","949,883"
"B08406",2.000,"Car, truck, or van:","821,285","+/-11,398","809,887","832,683"
"B08406",3.000,"Drove alone","720,123","+/-12,168","707,955","732,291"
"B08406",4.000,"Carpooled:","101,162","+/-5,932","95,230","107,094"
"B08406",5.000,"In 2-person carpool","80,983","+/-5,471","75,512","86,454"
"B08406",6.000,"In 3-person carpool","11,100","+/-1,928","9,172","13,028"
"B08406",7.000,"In 4-or-more-person carpool","9,079","+/-2,006","7,073","11,085"
"B08406",8.000,"Public transportation (excluding taxicab):","34,071","+/-3,716","30,355","37,787"
"B08406",9.000,"Bus or trolley bus","23,817","+/-3,298","20,519","27,115"
"B08406",10.000,"Streetcar or trolley car (carro publico in Puerto Rico)","2,422","+/-1,036","1,386","3,458"
"B08406",11.000,"Subway or elevated","1,290","+/-597","693","1,887"
"B08406",12.000,"Railroad","6,542","+/-1,439","5,103","7,981"
"B08406",13.000,"Ferryboat","0","+/-267","0","267"
"B08406",14.000,"Bicycle","11,578","+/-2,034","9,544","13,612"
"B08406",15.000,"Walked","18,870","+/-2,559","16,311","21,429"
"B08406",16.000,"Taxicab, motorcycle, or other means","17,898","+/-3,633","14,265","21,531"
"B08406",17.000,"Worked at home","33,568","+/-3,034","30,534","36,602"
"B08406",18.000,"Male:","551,261","+/-10,342","540,919","561,603"
"B08406",19.000,"Car, truck, or van:","486,348","+/-9,781","476,567","496,129"
"B08406",20.000,"Drove alone","426,928","+/-10,097","416,831","437,025"
"B08406",21.000,"Carpooled:","59,420","+/-4,099","55,321","63,519"
"B08406",22.000,"In 2-person carpool","46,769","+/-3,566","43,203","50,335"
"B08406",23.000,"In 3-person carpool","6,847","+/-1,643","5,204","8,490"
"B08406",24.000,"In 4-or-more-person carpool","5,804","+/-1,690","4,114","7,494"
"B08406",25.000,"Public transportation (excluding taxicab):","18,921","+/-2,574","16,347","21,495"
"B08406",26.000,"Bus or trolley bus","12,887","+/-2,394","10,493","15,281"
"B08406",27.000,"Streetcar or trolley car (carro publico in Puerto Rico)","1,325","+/-593","732","1,918"
"B08406",28.000,"Subway or elevated","696","+/-453","243","1,149"
"B08406",29.000,"Railroad","4,013","+/-975","3,038","4,988"
"B08406",30.000,"Ferryboat","0","+/-267","0","267"
"B08406",31.000,"Bicycle","8,805","+/-1,589","7,216","10,394"
"B08406",32.000,"Walked","9,758","+/-2,013","7,745","11,771"
"B08406",33.000,"Taxicab, motorcycle, or other means","12,152","+/-3,198","8,954","15,350"
"B08406",34.000,"Worked at home","15,277","+/-2,184","13,093","17,461"
"B08406",35.000,"Female:","386,009","+/-7,968","378,041","393,977"
"B08406",36.000,"Car, truck, or van:","334,937","+/-7,502","327,435","342,439"
"B08406",37.000,"Drove alone","293,195","+/-7,651","285,544","300,846"
"B08406",38.000,"Carpooled:","41,742","+/-3,684","38,058","45,426"
"B08406",39.000,"In 2-person carpool","34,214","+/-3,171","31,043","37,385"
"B08406",40.000,"In 3-person carpool","4,253","+/-986","3,267","5,239"
"B08406",41.000,"In 4-or-more-person carpool","3,275","+/-891","2,384","4,166"
"B08406",42.000,"Public transportation (excluding taxicab):","15,150","+/-2,436","12,714","17,586"
"B08406",43.000,"Bus or trolley bus","10,930","+/-2,048","8,882","12,978"
"B08406",44.000,"Streetcar or trolley car (carro publico in Puerto Rico)","1,097","+/-678","419","1,775"
"B08406",45.000,"Subway or elevated","594","+/-332","262","926"
"B08406",46.000,"Railroad","2,529","+/-886","1,643","3,415"
"B08406",47.000,"Ferryboat","0","+/-267","0","267"
"B08406",48.000,"Bicycle","2,773","+/-1,016","1,757","3,789"
"B08406",49.000,"Walked","9,112","+/-1,432","7,680","10,544"
"B08406",50.000,"Taxicab, motorcycle, or other means","5,746","+/-1,475","4,271","7,221"
"B08406",51.000,"Worked at home","18,291","+/-2,168","16,123","20,459"
"B08412",.,"SEX OF WORKERS BY TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY",,,,
"B08412",.,"Universe: Workers 16 years and over who did not work at home",,,,
"B08412",1.000,"Total:","903,702","+/-11,934","891,768","915,636"
"B08412",2.000,"Less than 5 minutes","13,172","+/-2,896","10,276","16,068"
"B08412",3.000,"5 to 9 minutes","61,542","+/-4,425","57,117","65,967"
"B08412",4.000,"10 to 14 minutes","110,224","+/-5,189","105,035","115,413"
"B08412",5.000,"15 to 19 minutes","147,135","+/-6,196","140,939","153,331"
"B08412",6.000,"20 to 24 minutes","153,697","+/-6,528","147,169","160,225"
"B08412",7.000,"25 to 29 minutes","53,357","+/-3,586","49,771","56,943"
"B08412",8.000,"30 to 34 minutes","139,602","+/-6,518","133,084","146,120"
"B08412",9.000,"35 to 39 minutes","22,726","+/-2,244","20,482","24,970"
"B08412",10.000,"40 to 44 minutes","38,770","+/-4,187","34,583","42,957"
"B08412",11.000,"45 to 59 minutes","71,867","+/-4,232","67,635","76,099"
"B08412",12.000,"60 to 89 minutes","58,994","+/-4,340","54,654","63,334"
"B08412",13.000,"90 or more minutes","32,616","+/-3,441","29,175","36,057"
"B08412",14.000,"Male:","535,984","+/-10,077","525,907","546,061"
"B08412",15.000,"Less than 5 minutes","7,069","+/-1,929","5,140","8,998"
"B08412",16.000,"5 to 9 minutes","32,266","+/-3,395","28,871","35,661"
"B08412",17.000,"10 to 14 minutes","59,319","+/-3,542","55,777","62,861"
"B08412",18.000,"15 to 19 minutes","84,722","+/-5,074","79,648","89,796"
"B08412",19.000,"20 to 24 minutes","92,147","+/-5,054","87,093","97,201"
"B08412",20.000,"25 to 29 minutes","32,363","+/-2,619","29,744","34,982"
"B08412",21.000,"30 to 34 minutes","84,537","+/-5,287","79,250","89,824"
"B08412",22.000,"35 to 39 minutes","14,357","+/-1,732","12,625","16,089"
"B08412",23.000,"40 to 44 minutes","22,890","+/-3,145","19,745","26,035"
"B08412",24.000,"45 to 59 minutes","42,618","+/-3,296","39,322","45,914"
"B08412",25.000,"60 to 89 minutes","40,280","+/-3,471","36,809","43,751"
"B08412",26.000,"90 or more minutes","23,416","+/-2,696","20,720","26,112"
