Row #,Cruise,Core,Longitude (decimal degree),Latitude (decimal degree),Longitude (decimal-minute),Latitude (decimal-minute),Year of sample collection,Water depth (m),Core length [as measured at sea] (cm),X-ray available,Water content available,Texture data available,MSCL data available,Midpoint of interval (cm),Top of interval (cm),Bottom of interval (cm),Size of interval (cm),Water content (weight fraction),Comments,Color (based on Munsell¨ Soil Color Chart),Core sectioning comments (Note: not standardized),Lab ID number for texture analysis (SED LAB #),Sample ID used by sed lab (Field ID),Texture analytical methods & operator (MOMS=Method of Moments Statistics),Analysis month,Analysis day,Analysis year,Sample weight (g) of texture aliquot processed ,Gravel (wt%) ,Sand (wt% ),Silt (wt%),Clay (wt %),Fines [silt + clay] (wt %),Verbal Equivalent of sediment texture,Median grain size using Method of Moment Statistics (MOMS),MOMS mean grain size,MOMS standard deviation of mean grain size,MOMS skewness of grain size distribution,MOMS kurtosis of grain size distribution,Mode 1,Mode 1 Frequency ,Mode 2,Mode 2 Frequency ,Mode 3,Mode 3 Frequency ,Number of Modes,Fraction of sample in 11 phi size range (%),Cumulative frequency of sample in 11 phi or smaller (%),Fraction of sample in 10  phi size range (%),Cumulative frequency of sample in 10  phi or smaller (%),Fraction of sample in 9  phi size range (%),Cumulative frequency of sample in 9  phi or smaller (%),Fraction of sample in 8  phi size range (%),Cumulative frequency of sample in 8  phi or smaller (%),Fraction of sample in 7  phi size range (%),Cumulative frequency of sample in 7  phi or smaller (%),Fraction of sample in 6  phi size range (%),Cumulative frequency of sample in 6  phi or smaller (%),Fraction of sample in 5  phi size range (%),Cumulative frequency of sample in 5  phi or smaller (%),Fraction of sample in 4  phi size range (%),Cumulative frequency of sample in 4  phi or smaller (%),Fraction of sample in 3  phi size range (%),Cumulative frequency of sample in 3  phi or smaller (%),Fraction of sample in 2  phi size range (%),Cumulative frequency of sample in 2  phi or smaller (%),Fraction of sample in 1  phi size range (%),Cumulative frequency of sample in 1  phi or smaller (%),Fraction of sample in 0  phi size range (%),Cumulative frequency of sample in 0  phi or smaller (%),Fraction of sample in -1  phi size range (%),Cumulative frequency of sample in -1  phi or smaller (%),Fraction of sample in -2  phi size range (%),Cumulative frequency of sample in -2  phi or smaller (%),Fraction of sample in -3  phi size range (%),Cumulative frequency of sample in -3  phi or smaller (%),Fraction of sample in -4  phi size range (%),Cumulative frequency of sample in -4  phi or smaller (%),Fraction of sample in -5  phi size range (%),Cumulative frequency of sample in -5  phi or smaller (%),Sort description of grain size,Inclusive Graphics Statistics (IGS): median,IGS mean,IGS standard deviation,IGS skewness,IGS kurtosis
1,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,0.25,0,0.5,0.5,0.33,,5y 2.5/1,"soft black top are grayer sand. mud: w/ trace fine sand, foul odor",AQ291,I1C1/0-0.5,MOMS- D. Walsh,11,22,1999,15.47,0.00,70.49,25.17,4.34,29.51,SILTY SAND  ,3.65,4.16,1.57,0.88,2.57,3.50,58.1,0.00,0.0,0.00,0.0,1.00,0.36,100,1.50,99.64,2.48,98.14,3.96,95.66,5.89,91.70,6.31,85.81,9.01,79.50,58.08,70.49,11.89,12.41,0.48,0.52,0.03,0.04,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"sample is poorly sorted, strongly fine-skewed, very leptokurtic",3.59,4.14,1.43,0.65,1.82
2,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,0.75,0.5,1,0.5,na,,5y 3/2,"muddy sand: v. fine to fine-grained, wet, foul odor, patchy olive + dark gray",na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,1.25,1,1.5,0.5,na,,5y 4/1.5,"muddy sand: v. fine to fine grained, wet, patchy olive + dark gray",na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,1.75,1.5,2,0.5,na,,5y 3.5/2,as above,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,2.25,2,2.5,0.5,na,,5y 3/2,as  above. thread worms present,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,2.75,2.5,3,0.5,0.27,,5y 3/2,"as above, no worms",AQ292,I1C1/2.5-3,MOMS- D. Walsh,11,22,1999,14.26,0.00,81.27,15.91,2.82,18.73,SAND        ,3.53,3.84,1.34,1.28,7.12,3.50,66.0,0.00,0.0,0.00,0.0,1.00,0.56,100,0.92,99.44,1.34,98.52,2.07,97.18,3.22,95.11,4.91,91.89,5.71,86.98,65.97,81.27,14.80,15.30,0.48,0.50,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"sample is poorly sorted, strongly fine-skewed, very leptokurtic",3.49,3.66,1.03,0.49,2.98
7,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,3.25,3,3.5,0.5,0.26,,5y 3/1,mottled. now level. now trimmed. as above,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,3.75,3.5,4,0.5,na,,5y 3/1,"muddy sand: v. fine to fine grained, wet, bad smell, patchy olive + dark gray w/ 1mm worm holes + mica flecks",na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,4.25,4,4.5,0.5,na,,5y 3/1,as above. ~1.5cm broken shell present,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,4.75,4.5,5,0.5,na,,5y 3/1,as above. top of razor clam shell,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
