'ICD-9-CM Code','CCS-MHSA Category','CCS-MHSA Category Description','ICD-9-CM Code Description'
'3090 ','650','Adjustment disorders','BRIEF DEPRESSIVE REACT'
'3091 ','650','Adjustment disorders','PROLONG DEPRESSIVE REACT'
'30922','650','Adjustment disorders','EMANCIPATION DISORDER'
'30923','650','Adjustment disorders','ACADEMICWORK INHIBITION'
'30924','650','Adjustment disorders','ADJ REACT-ANXIOUS MOOD'
'30928','650','Adjustment disorders','ADJ REACT-MIXED EMOTION'
'30929','650','Adjustment disorders','ADJ REACT-EMOTION NEC'
'30982','650','Adjustment disorders','ADJUST REACT-PHYS SYMPT'
'30983','650','Adjustment disorders','ADJUST REACT-WITHDRAWAL'
'30989','650','Adjustment disorders','ADJUSTMENT REACTION NEC'
'3093 ','650','Adjustment disorders','ADJUST REACT-CONDUCT DIS'
'3094 ','650','Adjustment disorders','ADJ REACT-EMOTIONCONDUC'
'3099 ','650','Adjustment disorders','ADJUSTMENT REACTION NOS'
'29384','651','Anxiety disorders','ORGANIC ANXIETY SYND OCT96--'
'30000','651','Anxiety disorders','ANXIETY STATE NOS'
'30001','651','Anxiety disorders','PANIC DISORDER'
'30002','651','Anxiety disorders','GENERALIZED ANXIETY DIS'
'30009','651','Anxiety disorders','ANXIETY STATE NEC'
'30010','651','Anxiety disorders','HYSTERIA NOS'
'30020','651','Anxiety disorders','PHOBIA NOS'
'30021','651','Anxiety disorders','AGORAPHOBIA WITH PANIC'
'30022','651','Anxiety disorders','AGORAPHOBIA WO PANIC'
'30023','651','Anxiety disorders','SOCIAL PHOBIA'
'30029','651','Anxiety disorders','ISOLATED PHOBIAS NEC'
'3003 ','651','Anxiety disorders','OBSESSIVE-COMPULSIVE DIS'
'3005 ','651','Anxiety disorders','NEURASTHENIA'
'30089','651','Anxiety disorders','NEUROTIC DISORDERS NEC'
'3009 ','651','Anxiety disorders','NEUROTIC DISORDER NOS'
'3080 ','651','Anxiety disorders','STRESS REACT/ EMOTIONAL'
'3081 ','651','Anxiety disorders','STRESS REACTION/ FUGUE'
'3082 ','651','Anxiety disorders','STRESS REACT/ PSYCHOMOT'
'3083 ','651','Anxiety disorders','ACUTE STRESS REACT NEC'
'3084 ','651','Anxiety disorders','STRESS REACT/ MIXED DIS'
'3089 ','651','Anxiety disorders','ACUTE STRESS REACT NOS'
'30981','651','Anxiety disorders','PROLONG POSTTRAUM STRESS'
'3130 ','651','Anxiety disorders','OVERANXIOUS DISORDER'
'3131 ','651','Anxiety disorders','MISERY & UNHAPPINESS DIS'
'31321','651','Anxiety disorders','SHYNESS DISORDER-CHILD'
'31322','651','Anxiety disorders','INTROVERTED DIS-CHILD'
'3133 ','651','Anxiety disorders','RELATIONSHIP PROBLEMS'
'31382','651','Anxiety disorders','IDENTITY DISORDER'
'31383','651','Anxiety disorders','ACADEMIC UNDERACHIEVMENT'
'31200','652','Attention-deficit/conduct/disruptive behavior disorders','UNSOCIAL AGGRESS-UNSPEC'
'31201','652','Attention-deficit/conduct/disruptive behavior disorders','UNSOCIAL AGGRESSION-MILD'
'31202','652','Attention-deficit/conduct/disruptive behavior disorders','UNSOCIAL AGGRESSION-MOD'
'31203','652','Attention-deficit/conduct/disruptive behavior disorders','UNSOCIAL AGGRESS-SEVERE'
'31210','652','Attention-deficit/conduct/disruptive behavior disorders','UNSOCIAL UNAGGRESS-UNSP'
'31211','652','Attention-deficit/conduct/disruptive behavior disorders','UNSOCIAL UNAGGRESS-MILD'
'31212','652','Attention-deficit/conduct/disruptive behavior disorders','UNSOCIAL UNAGGRESS-MOD'
'31213','652','Attention-deficit/conduct/disruptive behavior disorders','UNSOCIAL UNAGGR-SEVERE'
'31220','652','Attention-deficit/conduct/disruptive behavior disorders','SOCIAL CONDUCT DIS-UNSP'
'31221','652','Attention-deficit/conduct/disruptive behavior disorders','SOCIAL CONDUCT DIS-MILD'
'31222','652','Attention-deficit/conduct/disruptive behavior disorders','SOCIAL CONDUCT DIS-MOD'
'31223','652','Attention-deficit/conduct/disruptive behavior disorders','SOCIAL CONDUCT DIS-SEV'
'3124 ','652','Attention-deficit/conduct/disruptive behavior disorders','MIX DIS CONDUCTEMOTION'
'3128 ','652','Attention-deficit/conduct/disruptive behavior disorders','OTHER CONDUCT DISTURB'
'31281','652','Attention-deficit/conduct/disruptive behavior disorders','CONDUCT DISORDER/ CHILD ONSET OCT94--'
'31282','652','Attention-deficit/conduct/disruptive behavior disorders','CONDUCT DISORDER/ ADOLESC ONSET OCT94--'
'31289','652','Attention-deficit/conduct/disruptive behavior disorders','OTHER CONDUCT DISORDER OCT94--'
'3129 ','652','Attention-deficit/conduct/disruptive behavior disorders','CONDUCT DISTURBANCE NOS'
'31381','652','Attention-deficit/conduct/disruptive behavior disorders','OPPOSITIONAL DISORDER'
'31400','652','Attention-deficit/conduct/disruptive behavior disorders','ATTN DEFIC NONHYPERACT'
'31401','652','Attention-deficit/conduct/disruptive behavior disorders','ATTN DEFICIT W HYPERACT'
'3141 ','652','Attention-deficit/conduct/disruptive behavior disorders','HYPERKINET W DEVEL DELAY'
'3142 ','652','Attention-deficit/conduct/disruptive behavior disorders','HYPERKINETIC CONDUCT DIS'
'3148 ','652','Attention-deficit/conduct/disruptive behavior disorders','OTHER HYPERKINETIC SYND'
'3149 ','652','Attention-deficit/conduct/disruptive behavior disorders','-HYPERKINETIC SYND NOS-'
'2900 ','653','Delirium/dementia/amnestic/other cognitive disorders','SENILE DEMENTIA UNCOMP'
'29010','653','Delirium/dementia/amnestic/other cognitive disorders','PRESENILE DEMENTIA'
'29011','653','Delirium/dementia/amnestic/other cognitive disorders','PRESENILE DELIRIUM'
'29012','653','Delirium/dementia/amnestic/other cognitive disorders','PRESENILE DELUSION'
'29013','653','Delirium/dementia/amnestic/other cognitive disorders','PRESENILE DEPRESSION'
'29020','653','Delirium/dementia/amnestic/other cognitive disorders','SENILE DELUSION'
'29021','653','Delirium/dementia/amnestic/other cognitive disorders','SENILE DEPRESSIVE'
'2903 ','653','Delirium/dementia/amnestic/other cognitive disorders','SENILE DELIRIUM'
'29040','653','Delirium/dementia/amnestic/other cognitive disorders','ARTERIOSCLER DEMENT NOS'
'29041','653','Delirium/dementia/amnestic/other cognitive disorders','ARTERIOSCLER DELIRIUM'
'29042','653','Delirium/dementia/amnestic/other cognitive disorders','ARTERIOSCLER DELUSION'
'29043','653','Delirium/dementia/amnestic/other cognitive disorders','ARTERIOSCLER DEPRESSIVE'
'2908 ','653','Delirium/dementia/amnestic/other cognitive disorders','SENILE PSYCHOSIS NEC'
'2909 ','653','Delirium/dementia/amnestic/other cognitive disorders','SENILE PSYCHOT COND NOS'
'2930 ','653','Delirium/dementia/amnestic/other cognitive disorders','ACUTE DELIRIUM'
'2931 ','653','Delirium/dementia/amnestic/other cognitive disorders','SUBACUTE DELIRIUM'
'2940 ','653','Delirium/dementia/amnestic/other cognitive disorders','AMNESTIC SYNDROME'
'2941 ','653','Delirium/dementia/amnestic/other cognitive disorders','DEMENTIA IN OTH DISEASES'
'29410','653','Delirium/dementia/amnestic/other cognitive disorders','DEMENTIA IN OTH DISEASES W0 BEHAVRAL OCT00-'
'29411','653','Delirium/dementia/amnestic/other cognitive disorders','DEMENTIA IN OTH DISEASES WBEHAVIORAL OCT00-'
'2948 ','653','Delirium/dementia/amnestic/other cognitive disorders','ORGANIC BRAIN SYND NEC'
'2949 ','653','Delirium/dementia/amnestic/other cognitive disorders','ORGANIC BRAIN SYND NOS'
'3100 ','653','Delirium/dementia/amnestic/other cognitive disorders','FRONTAL LOBE SYNDROME'
'3102 ','653','Delirium/dementia/amnestic/other cognitive disorders','POSTCONCUSSION SYNDROME'
'3108 ','653','Delirium/dementia/amnestic/other cognitive disorders','NONPSYCHOT BRAIN SYN NEC'
'3109 ','653','Delirium/dementia/amnestic/other cognitive disorders','NONPSYCHOT BRAIN SYN NOS'
'3310 ','653','Delirium/dementia/amnestic/other cognitive disorders','ALZHEIMERS DISEASE'
'3311 ','653','Delirium/dementia/amnestic/other cognitive disorders','FRONTOTEMPORAL DEMENTIA'
'33111','653','Delirium/dementia/amnestic/other cognitive disorders','PICKS DISEASE'
'33119','653','Delirium/dementia/amnestic/other cognitive disorders','OTHER FRONTOTEMPORAL DEMENTIA'
'3312 ','653','Delirium/dementia/amnestic/other cognitive disorders','SENILE DEGENERAT BRAIN'
'33182','653','Delirium/dementia/amnestic/other cognitive disorders','DEMENTIA WITH LEWY BODIES'
'797  ','653','Delirium/dementia/amnestic/other cognitive disorders','SENILITY WITHOUT MENTION OF PSYCHOSIS'
'3070 ','654','Developmental disorders','STAMMERING & STUTTERING'
'3079 ','654','Developmental disorders','SPECIAL SYMPTOM NECNOS'
'31531','654','Developmental disorders','DEVELOPMENT LANGUAGE DIS'
'31539','654','Developmental disorders','SPEECHLANGUAGE DIS NEC'
'V401 ','654','Developmental disorders','PROBLEMS WITH COMMUNICATION'
'31501','654','Developmental disorders','ALEXIA'
'31502','654','Developmental disorders','DEVELOPMENTAL DYSLEXIA'
'31509','654','Developmental disorders','READING DISORDER NEC'
'31532','654','Developmental disorders','RECEPTIVE LANG DIS OCT96--'
