Pjt No,Pjt Name,Terrty,Office,Main Grp,Catgy No,Catgy Name,Subcatgy,SoA,NC/Refi,Mtg Amt,Units,Pjt Street,Pjt City,Pjt ST,Pjt Zip,Cty No,County,MSA No,MSA Name,Lat,Lon,IE FY,Orig No,Orig Name,Hldr No,Holder Name,Serv No,Servicer Name,Serv ST
06411037,BAYOU OAKS,6,New Orleans,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRS,Refi/ Pchse,"$5,258,100 ",264,330 Feu Follet Rd,Lafayette,LA,70508,55,Lafayette Parish,3880,"LAFAYETTE, LA",30.182613,-92.016116,FY94,09632,AMERICAN CAPITAL RESOURCE INC,09632,AMERICAN CAPITAL RESOURCE INC,75148,GE CAPITAL ASSET MGTMT CORP,TX
06411041,CHAPARRAL APARTMENTS,6,New Orleans,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$2,975,000 ",232,215 N Gladys St,Leesville,LA,71446,115,Vernon Parish,0,NM,31.14427,-93.27057,FY94,60188,LOVE FUNDING CORPORATION,60188,LOVE FUNDING CORPORATION,60188,LOVE FUNDING CORPORATION,DC
06411042,PINES ROYALE APARTMENTS,6,New Orleans,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$1,245,200 ",94,2700 MARY STREET,SLIDELL,LA,70458,103,St. Tammany Parish,5560,"NEW ORLEANS, LA",30.267,-89.7834,FY95,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,TX
06411044,OAK ROYALE EAST APARTMEN,6,New Orleans,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$702,100 ",64,5950 FLORIDA BLVD.,BATON ROUGE,LA,70806,33,East Baton Rouge Parish,0760,"BATON ROUGE, LA",30.4509,-91.1292,FY95,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,TX
06411045,SOMMERST APARTMENTS,6,New Orleans,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRS,Refi/ Pchse,"$1,913,400 ",104,7820 MILLICENT WAY,SHREVEPORT,LA,71105,17,Caddo Parish,7680,"SHREVEPORT-BOSSIER CITY, LA",32.4269,-93.7183,FY94,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,TX
06411048,COUNTRY CLUB MARINA APTS,6,New Orleans,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$2,849,200 ",247,4223 Lakeshore Dr,Shreveport,LA,71109,17,Caddo Parish,7680,"SHREVEPORT-BOSSIER CITY, LA",32.487291,-93.80441,FY95,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,TX
06411051,ROYAL CREST APARTMENTS,6,New Orleans,Basic FHA,5,223a7 Refi Apts,A7/223f,REK,Refi/ Pchse,"$765,100 ",72,1800 TECH FARM ROAD,RUSTON,LA,71207,73,Ouachita Parish,5200,"MONROE, LA",32.5283,-92.1041,FY96,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,TX
06435285,CANTERBURY HOUSE,6,New Orleans,Basic FHA,2,FHA NC/SR Apts,221d3,MMI,NC/SR,"$754,800 ",60,1600 MURRAY STREET,ALEXANDRIA,LA,71301,79,Rapides Parish,0220,"ALEXANDRIA, LA",31.304,-92.4523,FY94,74503,TECHE FEDERAL SAVINGS BANK,74503,TECHE FEDERAL SAVINGS BANK,74503,TECHE FEDERAL SAVINGS BANK,LA
06435294,TALL TIMBERS APARTMENTS,6,New Orleans,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$7,335,100 ",328,1251 N ARDENWOOD DRIVE,BATON ROUGE,LA,70806,33,East Baton Rouge Parish,0760,"BATON ROUGE, LA",30.4616,-91.1277,FY94,17158,STANDARD MORTGAGE CORP,17158,STANDARD MORTGAGE CORP,17158,STANDARD MORTGAGE CORP,LA
06435295,WINDRUSH TRACE,6,New Orleans,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$3,389,200 ",120,COMMERCE STREET,HAMMOND,LA,70403,105,Tangipahoa Parish,0,NM,30.4518,-90.5248,FY94,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,TX
