"TBLID","ORDER","TITLE","estout","CME","CLB","CUB"
"B00001",.,"UNWEIGHTED SAMPLE COUNT OF THE POPULATION",,,,
"B00001",.,"Universe:  Total population",,,,
"B00001",1.000,"Total","31,668","+/-267","31,401","31,935"
"B00002",.,"UNWEIGHTED SAMPLE HOUSING UNITS",,,,
"B00002",.,"Universe:  Housing units",,,,
"B00002",1.000,"Total","13,381","+/-267","13,114","13,648"
"B01001",.,"SEX BY AGE",,,,
"B01001",.,"Universe:  Total population",,,,
"B01001",1.000,"Total:","2,177,935","+/-2,747","2,175,188","2,180,682"
"B01001",2.000,"Male:","1,063,592","+/-2,748","1,060,844","1,066,340"
"B01001",3.000,"Under 5 years","77,125","+/-1,079","76,046","78,204"
"B01001",4.000,"5 to 9 years","74,915","+/-2,943","71,972","77,858"
"B01001",5.000,"10 to 14 years","78,454","+/-3,176","75,278","81,630"
"B01001",6.000,"15 to 17 years","50,171","+/-970","49,201","51,141"
"B01001",7.000,"18 and 19 years","32,077","+/-1,260","30,817","33,337"
"B01001",8.000,"20 years","16,531","+/-2,157","14,374","18,688"
"B01001",9.000,"21 years","14,396","+/-2,140","12,256","16,536"
"B01001",10.000,"22 to 24 years","43,661","+/-2,661","41,000","46,322"
"B01001",11.000,"25 to 29 years","70,636","+/-1,149","69,487","71,785"
"B01001",12.000,"30 to 34 years","64,965","+/-1,126","63,839","66,091"
"B01001",13.000,"35 to 39 years","75,589","+/-2,999","72,590","78,588"
"B01001",14.000,"40 to 44 years","81,497","+/-2,833","78,664","84,330"
"B01001",15.000,"45 to 49 years","86,645","+/-1,141","85,504","87,786"
"B01001",16.000,"50 to 54 years","78,288","+/-943","77,345","79,231"
"B01001",17.000,"55 to 59 years","63,840","+/-2,436","61,404","66,276"
"B01001",18.000,"60 and 61 years","22,398","+/-1,865","20,533","24,263"
"B01001",19.000,"62 to 64 years","25,741","+/-1,935","23,806","27,676"
"B01001",20.000,"65 and 66 years","16,814","+/-1,542","15,272","18,356"
"B01001",21.000,"67 to 69 years","18,012","+/-1,631","16,381","19,643"
"B01001",22.000,"70 to 74 years","26,255","+/-1,833","24,422","28,088"
"B01001",23.000,"75 to 79 years","20,609","+/-1,672","18,937","22,281"
"B01001",24.000,"80 to 84 years","15,114","+/-1,567","13,547","16,681"
"B01001",25.000,"85 years and over","9,859","+/-1,415","8,444","11,274"
"B01001",26.000,"Female:","1,114,343","+/-2,250","1,112,093","1,116,593"
"B01001",27.000,"Under 5 years","74,206","+/-975","73,231","75,181"
"B01001",28.000,"5 to 9 years","72,089","+/-2,653","69,436","74,742"
"B01001",29.000,"10 to 14 years","75,126","+/-2,745","72,381","77,871"
"B01001",30.000,"15 to 17 years","47,415","+/-1,028","46,387","48,443"
"B01001",31.000,"18 and 19 years","29,727","+/-1,188","28,539","30,915"
"B01001",32.000,"20 years","16,789","+/-2,196","14,593","18,985"
"B01001",33.000,"21 years","14,974","+/-2,098","12,876","17,072"
"B01001",34.000,"22 to 24 years","40,410","+/-2,878","37,532","43,288"
"B01001",35.000,"25 to 29 years","73,718","+/-1,135","72,583","74,853"
"B01001",36.000,"30 to 34 years","68,851","+/-1,109","67,742","69,960"
"B01001",37.000,"35 to 39 years","76,956","+/-2,786","74,170","79,742"
